"id","date","displayDateLabel","datePrecision","title","seriesTitle","heading","dateline","type","subjectArea","selection","releaseStatus","extentLabel","classification","naid","localId","sourceNoteStatus","sourceNoteBasis","archivalLocator","topics","notes","catalogUrl","pdfUrl"
"policy-development-653628661","1989-10-01","October 1989","month","Porter - Oct [October] 1989","Roger Porter's Chronological Files","White House Office of Policy Development File: Porter - Oct [October] 1989","October 1989","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628661","05841–008","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–008, Porter - Oct [October] 1989.","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628661","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-008.pdf"
"policy-development-509545336","1989-10-20","October 20, 1989","day","DPC Global Warming Meeting - 10/20/89","Nancy Maloley Subject Files","White House Office of Policy Development File: DPC Global Warming Meeting - 10/20/89","October 20, 1989","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509545336","04153–019","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Nancy Maloley Subject Files, OA/ID 04153–019, DPC Global Warming Meeting - 10/20/89.","White House Office of Policy Development; Nancy Maloley Subject Files; Global environment","Finding-aid lead retained because of global climate or summit-environment title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509545336",""
"policy-development-653628663","1989-11-01","November 1989","month","Porter - Nov [November] 1989","Roger Porter's Chronological Files","White House Office of Policy Development File: Porter - Nov [November] 1989","November 1989","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628663","05841–009","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–009, Porter - Nov [November] 1989.","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628663","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-009.pdf"
"policy-development-509545457","1989-11-28","November 28, 1989","day","EPC Meeting: Oil Export Study, 11/28/89","J. French Hill 1990 EPC Meetings Files","White House Office of Policy Development File: EPC Meeting: Oil Export Study, 11/28/89","November 28, 1989","White House Office of Policy Development file","Trade Policy and Market Access","Core","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509545457","04824–004","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, J. French Hill 1990 EPC Meetings Files, OA/ID 04824–004, EPC Meeting: Oil Export Study, 11/28/89.","White House Office of Policy Development; J. French Hill 1990 EPC Meetings Files","Finding-aid lead retained because of foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509545457",""
"policy-development-653628665","1989-12-01","December 1989","month","Porter - Dec 89 [December 1989]","Roger Porter's Chronological Files","White House Office of Policy Development File: Porter - Dec 89 [December 1989]","December 1989","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628665","05841–010","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–010, Porter - Dec 89 [December 1989].","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628665","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-010.pdf"
"policy-development-285411055","1989-12-01","December 1989","month","EPA - Global Climate Change [The Potential for Global Climate Change on the United States 12/89]","Ed Goldstein Subject Files","White House Office of Policy Development File: EPA - Global Climate Change [The Potential for Global Climate Change on the United States 12/89]","December 1989","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","285411055","06683–004","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Ed Goldstein Subject Files, OA/ID 06683–004, EPA - Global Climate Change [The Potential for Global Climate Change on the United States 12/89].","White House Office of Policy Development; Ed Goldstein Subject Files; Global environment","Finding-aid lead retained because of global climate or summit-environment title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/285411055","https://catalog.archives.gov/medialz/presidential-libraries/bush/foia/2017/41-bpr-poldev-goldstein-06683-004.pdf"
"policy-development-653628667","1990-01-01","January 1990","month","Porter - Jan 90 [January 1990]","Roger Porter's Chronological Files","White House Office of Policy Development File: Porter - Jan 90 [January 1990]","January 1990","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628667","05841–011","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–011, Porter - Jan 90 [January 1990].","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628667","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-011.pdf"
"policy-development-509548134","1990-01-01","January 1, 1990-December 31, 1990","range","Trade Chron Files: 1990","Stephen P. Farrar Trade Files","White House Office of Policy Development File: Trade Chron Files: 1990","January 1, 1990-December 31, 1990","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509548134","CF01119–002","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Stephen P. Farrar Trade Files, OA/ID CF01119–002, Trade Chron Files: 1990.","White House Office of Policy Development; Stephen P. Farrar Trade Files; Trade policy","Finding-aid lead retained because of functional trade or international-economic series, foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509548134",""
"policy-development-653628669","1990-02-01","February 1990","month","Porter - Feb-90 [February 1990]","Roger Porter's Chronological Files","White House Office of Policy Development File: Porter - Feb-90 [February 1990]","February 1990","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628669","05841–012","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–012, Porter - Feb-90 [February 1990].","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628669","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-012.pdf"
"policy-development-509545498","1990-02-05","February 5, 1990","day","Intergovernmental Panel on Climate Change 2/5/90","James Pinkerton Chronological Files","White House Office of Policy Development File: Intergovernmental Panel on Climate Change 2/5/90","February 5, 1990","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509545498","04939–094","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, James Pinkerton Chronological Files, OA/ID 04939–094, Intergovernmental Panel on Climate Change 2/5/90.","White House Office of Policy Development; James Pinkerton Chronological Files; Global environment","Finding-aid lead retained because of global climate or summit-environment title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509545498",""
"policy-development-653628671","1990-03-01","March 1990","month","Porter - Mar 90 [March 1990]","Roger Porter's Chronological Files","White House Office of Policy Development File: Porter - Mar 90 [March 1990]","March 1990","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628671","05841–013","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–013, Porter - Mar 90 [March 1990].","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628671","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-013.pdf"
"policy-development-653628673","1990-04-01","April 1990","month","Porter - Apr-90 [April 1990]","Roger Porter's Chronological Files","White House Office of Policy Development File: Porter - Apr-90 [April 1990]","April 1990","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628673","05841–014","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–014, Porter - Apr-90 [April 1990].","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628673","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-014.pdf"
"policy-development-653628675","1990-05-01","May 1990","month","Porter - May 90 [1990]","Roger Porter's Chronological Files","White House Office of Policy Development File: Porter - May 90 [1990]","May 1990","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628675","05841–015","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–015, Porter - May 90 [1990].","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628675","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-015.pdf"
"policy-development-653628677","1990-06-01","June 1990","month","Porter - Jun 90 [June 1990]","Roger Porter's Chronological Files","White House Office of Policy Development File: Porter - Jun 90 [June 1990]","June 1990","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628677","05841–016","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–016, Porter - Jun 90 [June 1990].","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628677","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-016.pdf"
"policy-development-653628679","1990-07-01","July 1990","month","Porter - Jul 90 [July 1990]","Roger Porter's Chronological Files","White House Office of Policy Development File: Porter - Jul 90 [July 1990]","July 1990","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628679","05841–017","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–017, Porter - Jul 90 [July 1990].","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628679","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-017.pdf"
"policy-development-509545577","1990-07-09","July 9, 1990","day","G-7 Economic Summit - Houston, Texas 7/9/90","James Pinkerton Files","White House Office of Policy Development File: G-7 Economic Summit - Houston, Texas 7/9/90","July 9, 1990","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Core","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509545577","04952–071","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, James Pinkerton Files, OA/ID 04952–071, G-7 Economic Summit - Houston, Texas 7/9/90.","White House Office of Policy Development; James Pinkerton Files; Economic summits","Finding-aid lead retained because of foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509545577",""
