"naid","workingStartDate","workingEndDate","workingDateLabel","dateBasis","title","localId","seriesNaid","seriesTitle","chapter","routing","reviewTopics","reviewFocus","reviewKeyExtent","markerStatus","markerRecordGroup","markerSeries","markerSubseries","hasOnlinePdf","pdfPages","pdfBytes","catalogPdfBytes","pdfByteBasis","accessStatus","ocrCharacterCount","memosToPresident","memosToScowcroft","memorandaOfConversation","meetingRecords","withdrawalSheets","economicSignalTotal","economySignals","financeSignals","tradeSignals","assistanceSanctionsSignals","energySignals","agricultureSignals","treasurySignals","archivalLocator","provenanceStem","catalogUrl","pdfUrl"
"366552143","1989-01-01","1989-06-30","January-June 1989","Folder title month range","Appointments Completed, January to June 1989 [3]","85034-001","74785770","Brent Scowcroft Administrative Files","Series context and cross-volume routing","Reference context","","","","verified","George H.W. Bush Presidential Records","Administrative Files","","true","0","37717811","1234","HTTP Content-Length","Restricted - Possibly","126691","0","16","0","0","16","39","7","24","1","3","1","0","3","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Administrative Files, OA/ID 85034–001, Appointments Completed, January to June 1989 [3].","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Administrative Files, OA/ID 85034–001, Appointments Completed, January to June 1989 [3].","https://catalog.archives.gov/id/366552143","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/74785770/41-bpr-scow-admin-85034-001.pdf"
"366552144","1989-01-01","1989-06-30","January-June 1989","Folder title month range","Appointments Completed, January to June 1989 [4]","85034-002","74785770","Brent Scowcroft Administrative Files","Series context and cross-volume routing","Reference context","","","","verified","George H.W. Bush Presidential Records","Administrative Files","","true","0","42248677","1234","HTTP Content-Length","Restricted - Possibly","129177","0","12","0","0","7","76","16","13","7","14","11","5","3","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Administrative Files, OA/ID 85034–002, Appointments Completed, January to June 1989 [4].","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Administrative Files, OA/ID 85034–002, Appointments Completed, January to June 1989 [4].","https://catalog.archives.gov/id/366552144","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/74785770/41-bpr-scow-admin-85034-002.pdf"
"366552159","1989-01-01","1989-12-31","January-December 1989","Folder title month range","Appointments Regretted, January to December 1989","85036-004","74785770","Brent Scowcroft Administrative Files","Series context and cross-volume routing","Reference context","","","","verified","George H.W. Bush Presidential Records","Administrative Files","","true","0","19483443","1234","HTTP Content-Length","Restricted - Possibly","57588","0","8","0","0","3","11","4","3","1","0","2","0","1","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Administrative Files, OA/ID 85036–004, Appointments Regretted, January to December 1989.","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Administrative Files, OA/ID 85036–004, Appointments Regretted, January to December 1989.","https://catalog.archives.gov/id/366552159","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/74785770/41-bpr-scow-admin-85036-004.pdf"
"366552190","1989-01-01","1989-12-31","1989","Folder title year","Tower, John, 1989","85039-009","74785770","Brent Scowcroft Administrative Files","Series context and cross-volume routing","Series context","","","","verified","George H.W. Bush Presidential Records","Administrative Files","","true","0","5045878","1234","HTTP Content-Length","Restricted - Possibly","19352","0","0","0","0","0","4","1","1","0","0","2","0","0","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Administrative Files, OA/ID 85039–009, Tower, John, 1989.","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Administrative Files, OA/ID 85039–009, Tower, John, 1989.","https://catalog.archives.gov/id/366552190","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/74785770/41-bpr-scow-admin-85039-009.pdf"
"366551875","1989-01-01","1989-12-31","1989","Folder title year","China 1989 (Sensitive) [1]","91135-001","4708330","Special Separate China Notes Files","Series context and cross-volume routing","Series context","","","","verified","George H.W. Bush Presidential Records","Special Separate China Notes Files","China Files","true","0","47912490","47912488","HTTP Content-Length","Restricted - Possibly","197726","0","2","1","0","21","134","55","26","17","18","2","3","2","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91135–001, China 1989 (Sensitive) [1].","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91135–001, China 1989 (Sensitive) [1].","https://catalog.archives.gov/id/366551875","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/4708330/41-bpr-scow-ssch-china-91135-001.pdf"
"366551876","1989-01-01","1989-12-31","1989","Folder title year","China 1989 (Sensitive) [2]","91135-002","4708330","Special Separate China Notes Files","Series context and cross-volume routing","Series context","","","","verified","George H.W. Bush Presidential Records","Special Separate China Notes Files","China Files","true","0","42846258","42846256","HTTP Content-Length","Restricted - Possibly","184146","0","0","7","0","13","97","38","26","6","15","3","0","0","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91135–002, China 1989 (Sensitive) [2].","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91135–002, China 1989 (Sensitive) [2].","https://catalog.archives.gov/id/366551876","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/4708330/41-bpr-scow-ssch-china-91135-002.pdf"
"366551877","1989-01-01","1989-12-31","1989","Folder title year","China 1989 (Sensitive) [3]","91135-003","4708330","Special Separate China Notes Files","Series context and cross-volume routing","Series context","","","","verified","George H.W. Bush Presidential Records","Special Separate China Notes Files","China Files","true","0","50186439","50186440","HTTP Content-Length","Restricted - Possibly","217968","0","0","5","0","12","151","83","19","10","30","4","5","0","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91135–003, China 1989 (Sensitive) [3].","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91135–003, China 1989 (Sensitive) [3].","https://catalog.archives.gov/id/366551877","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/4708330/41-bpr-scow-ssch-china-91135-003.pdf"
"366551878","1989-01-01","1989-12-31","1989","Folder title year","China 1989 (Sensitive) [4]","91135-004","4708330","Special Separate China Notes Files","Series context and cross-volume routing","Series context","","","","verified","George H.W. Bush Presidential Records","Special Separate China Notes Files","China Files","true","0","28619934","28619934","HTTP Content-Length","Restricted - Possibly","111752","0","0","1","0","4","45","23","3","6","10","1","0","0","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91135–004, China 1989 (Sensitive) [4].","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91135–004, China 1989 (Sensitive) [4].","https://catalog.archives.gov/id/366551878","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/4708330/41-bpr-scow-ssch-china-91135-004.pdf"
"366551879","1989-01-01","1989-12-31","1989","Folder title year","China 1989 (Sensitive) [5]","91135-005","4708330","Special Separate China Notes Files","Series context and cross-volume routing","Series context","","","","verified","George H.W. Bush Presidential Records","Special Separate China Notes Files","China Files","true","0","50736573","50736572","HTTP Content-Length","Restricted - Possibly","224421","0","0","9","0","14","179","73","18","60","7","6","6","1","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91135–005, China 1989 (Sensitive) [5].","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91135–005, China 1989 (Sensitive) [5].","https://catalog.archives.gov/id/366551879","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/4708330/41-bpr-scow-ssch-china-91135-005.pdf"
"366551880","1989-01-01","1989-12-31","1989","Folder title year","China 1989 (Sensitive) [6]","91135-006","4708330","Special Separate China Notes Files","Series context and cross-volume routing","Series context","","","","verified","George H.W. Bush Presidential Records","Special Separate China Notes Files","China Files","true","0","34945266","34945264","HTTP Content-Length","Restricted - Possibly","159185","0","0","5","0","11","75","42","12","13","5","0","3","0","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91135–006, China 1989 (Sensitive) [6].","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91135–006, China 1989 (Sensitive) [6].","https://catalog.archives.gov/id/366551880","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/4708330/41-bpr-scow-ssch-china-91135-006.pdf"
"366551881","1989-01-01","1989-12-31","1989","Folder title year","China 1989 (Sensitive) [7]","91135-007","4708330","Special Separate China Notes Files","Series context and cross-volume routing","Series context","","","","verified","George H.W. Bush Presidential Records","Special Separate China Notes Files","China Files","true","0","31930394","31930394","HTTP Content-Length","Restricted - Possibly","106811","0","4","4","0","24","54","7","23","19","4","0","1","0","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91135–007, China 1989 (Sensitive) [7].","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91135–007, China 1989 (Sensitive) [7].","https://catalog.archives.gov/id/366551881","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/4708330/41-bpr-scow-ssch-china-91135-007.pdf"
"366551882","1989-01-01","1989-12-31","1989","Folder title year","China 1989 (Sensitive) [1]","91136-001","4708330","Special Separate China Notes Files","Series context and cross-volume routing","Series context","","","","verified","George H.W. Bush Presidential Records","Special Separate China Notes Files","China Files","true","0","49169700","49169700","HTTP Content-Length","Restricted - Possibly","194018","0","0","2","0","20","94","44","17","14","13","0","1","0","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91136–001, China 1989 (Sensitive) [1].","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91136–001, China 1989 (Sensitive) [1].","https://catalog.archives.gov/id/366551882","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/4708330/41-bpr-scow-ssch-china-91136-001.pdf"
"366551883","1989-01-01","1989-12-31","1989","Folder title year","China 1989 (Sensitive) [2]","91136-002","4708330","Special Separate China Notes Files","Series context and cross-volume routing","Series context","","","","verified","George H.W. Bush Presidential Records","Special Separate China Notes Files","China Files","true","0","29193282","29193282","HTTP Content-Length","Restricted - Possibly","140893","0","0","7","0","2","139","55","8","53","4","6","6","1","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91136–002, China 1989 (Sensitive) [2].","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91136–002, China 1989 (Sensitive) [2].","https://catalog.archives.gov/id/366551883","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/4708330/41-bpr-scow-ssch-china-91136-002.pdf"
"366551884","1989-01-01","1989-12-31","1989","Folder title year","China 1989 (Sensitive) [3]","91136-003","4708330","Special Separate China Notes Files","Series context and cross-volume routing","Series context","","","","verified","George H.W. Bush Presidential Records","Special Separate China Notes Files","China Files","true","0","54675198","54675200","HTTP Content-Length","Restricted - Possibly","228859","0","0","5","0","9","138","81","14","11","22","5","5","0","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91136–003, China 1989 (Sensitive) [3].","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91136–003, China 1989 (Sensitive) [3].","https://catalog.archives.gov/id/366551884","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/4708330/41-bpr-scow-ssch-china-91136-003.pdf"
"366551885","1989-01-01","1989-12-31","1989","Folder title year","China 1989 (Sensitive) [4]","91136-004","4708330","Special Separate China Notes Files","Series context and cross-volume routing","Series context","","","","verified","George H.W. Bush Presidential Records","Special Separate China Notes Files","China Files","true","0","32328572","32328572","HTTP Content-Length","Restricted - Possibly","115279","0","0","5","0","19","39","10","18","1","4","0","0","0","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91136–004, China 1989 (Sensitive) [4].","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91136–004, China 1989 (Sensitive) [4].","https://catalog.archives.gov/id/366551885","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/4708330/41-bpr-scow-ssch-china-91136-004.pdf"
"366551886","1989-01-01","1989-12-31","1989","Folder title year","China 1989 (Sensitive) [5]","91136-005","4708330","Special Separate China Notes Files","Series context and cross-volume routing","Series context","","","","verified","George H.W. Bush Presidential Records","Special Separate China Notes Files","China Files","true","0","42305838","42305840","HTTP Content-Length","Restricted - Possibly","160588","0","0","5","0","9","88","48","12","19","6","0","3","0","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91136–005, China 1989 (Sensitive) [5].","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91136–005, China 1989 (Sensitive) [5].","https://catalog.archives.gov/id/366551886","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/4708330/41-bpr-scow-ssch-china-91136-005.pdf"
"366551887","1989-01-01","1989-12-31","1989","Folder title year","China 1989 (Sensitive) [6]","91136-006","4708330","Special Separate China Notes Files","Series context and cross-volume routing","Series context","","","","verified","George H.W. Bush Presidential Records","Special Separate China Notes Files","China Files","true","0","27917681","27917680","HTTP Content-Length","Restricted - Possibly","108109","0","2","1","0","10","69","34","9","13","7","1","0","0","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91136–006, China 1989 (Sensitive) [6].","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91136–006, China 1989 (Sensitive) [6].","https://catalog.archives.gov/id/366551887","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/4708330/41-bpr-scow-ssch-china-91136-006.pdf"
"366551888","1989-01-01","1989-12-31","1989","Folder title year","China 1989 (Sensitive) [7]","91136-007","4708330","Special Separate China Notes Files","Series context and cross-volume routing","Series context","","","","verified","George H.W. Bush Presidential Records","Special Separate China Notes Files","China Files","true","0","26034701","26034700","HTTP Content-Length","Restricted - Possibly","113365","0","0","0","0","9","61","30","9","3","15","0","0","2","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91136–007, China 1989 (Sensitive) [7].","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91136–007, China 1989 (Sensitive) [7].","https://catalog.archives.gov/id/366551888","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/4708330/41-bpr-scow-ssch-china-91136-007.pdf"
"366551889","1989-01-01","1989-12-31","1989","Folder title year","China 1989 (Sensitive) [8]","91136-008","4708330","Special Separate China Notes Files","Series context and cross-volume routing","Series context","","","","verified","George H.W. Bush Presidential Records","Special Separate China Notes Files","China Files","true","0","24080824","24080824","HTTP Content-Length","Restricted - Possibly","99632","0","0","2","0","8","54","17","22","3","6","3","0","0","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91136–008, China 1989 (Sensitive) [8].","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Special Separate China Notes Files, China Files, OA/ID 91136–008, China 1989 (Sensitive) [8].","https://catalog.archives.gov/id/366551889","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/4708330/41-bpr-scow-ssch-china-91136-008.pdf"
"366552070","1989-01-01","1989-12-31","1989","Folder title year","NSB's--National Security Briefings 1989 [1]","91159-002","4708328","Meeting Files","Series context and cross-volume routing","Series context","","","","verified","George H.W. Bush Presidential Records","Meetings Files","National Security Briefings","true","0","22164775","22164776","HTTP Content-Length","Restricted - Possibly","116423","0","0","0","0","56","50","0","50","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Meetings Files, National Security Briefings, OA/ID 91159–002, NSB's—National Security Briefings 1989 [1].","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Meetings Files, National Security Briefings, OA/ID 91159–002, NSB's—National Security Briefings 1989 [1].","https://catalog.archives.gov/id/366552070","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/4708328/41-bpr-scow-mtg-nsb-91159-002.pdf"
"366552071","1989-01-01","1989-12-31","1989","Folder title year","NSB's--National Security Briefings 1989 [2]","91159-003","4708328","Meeting Files","Series context and cross-volume routing","Series context","","","","verified","George H.W. Bush Presidential Records","Meetings Files","National Security Briefings","true","0","23517222","23517222","HTTP Content-Length","Restricted - Possibly","117689","0","0","0","0","56","50","0","50","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Meetings Files, National Security Briefings, OA/ID 91159–003, NSB's—National Security Briefings 1989 [2].","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Meetings Files, National Security Briefings, OA/ID 91159–003, NSB's—National Security Briefings 1989 [2].","https://catalog.archives.gov/id/366552071","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/4708328/41-bpr-scow-mtg-nsb-91159-003.pdf"
"366552072","1989-01-01","1989-12-31","1989","Folder title year","NSB's--National Security Briefings 1989 [3]","91159-004","4708328","Meeting Files","Series context and cross-volume routing","Series context","","","","verified","George H.W. Bush Presidential Records","Meetings Files","National Security Briefings","true","0","25062659","25062660","HTTP Content-Length","Restricted - Possibly","122270","0","0","0","0","58","52","0","51","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Meetings Files, National Security Briefings, OA/ID 91159–004, NSB's—National Security Briefings 1989 [3].","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Meetings Files, National Security Briefings, OA/ID 91159–004, NSB's—National Security Briefings 1989 [3].","https://catalog.archives.gov/id/366552072","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/4708328/41-bpr-scow-mtg-nsb-91159-004.pdf"
