"naid","workingStartDate","workingEndDate","workingDateLabel","dateBasis","title","localId","chapter","routing","reviewTopics","reviewFocus","reviewKeyExtent","markerStatus","hasOnlinePdf","pdfPages","pdfBytes","catalogPdfBytes","pdfByteBasis","accessStatus","memosToPresident","memosToScowcroft","memorandaOfConversation","meetingRecords","withdrawalSheets","economicSignalTotal","economySignals","financeSignals","tradeSignals","assistanceSanctionsSignals","energySignals","agricultureSignals","treasurySignals","archivalLocator","catalogUrl","pdfUrl"
"470760877","1989-01-01","1989-01-01","Winter 1989","Winter 1989 compilation; January 1 is a sorting key only","NSC Procedural Manual - Binder 1 [3]","99017-003","Series context and cross-volume routing","Series context","","","","verified","true","166","10810493","10810493","HTTP Content-Length","Restricted - Possibly","0","0","0","0","14","35","2","13","2","9","4","1","4","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99017–003, NSC Procedural Manual—Binder 1 [3].","https://catalog.archives.gov/id/470760877","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99017-003.pdf"
"470760878","1989-01-01","1989-01-01","Winter 1989","Winter 1989 compilation; January 1 is a sorting key only","NSC Procedural Manual - Binder 2 [1]","99017-004","Series context and cross-volume routing","Series context","","","","verified","true","135","14756888","14756888","HTTP Content-Length","Restricted - Possibly","0","0","0","0","4","171","44","4","4","9","108","1","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99017–004, NSC Procedural Manual—Binder 2 [1].","https://catalog.archives.gov/id/470760878","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99017-004.pdf"
"470760879","1989-01-01","1989-01-01","Winter 1989","Winter 1989 compilation; January 1 is a sorting key only","NSC Procedural Manual - Binder 2 [2]","99017-005","Series context and cross-volume routing","Series context","","","","verified","true","166","9963280","9963280","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","47","69","4","49","1","6","5","3","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99017–005, NSC Procedural Manual—Binder 2 [2].","https://catalog.archives.gov/id/470760879","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99017-005.pdf"
"470760880","1989-01-01","1989-01-01","Winter 1989","Winter 1989 compilation; January 1 is a sorting key only","NSC Procedural Manual - Binder 3 [1]","99017-006","Series context and cross-volume routing","Series context","","","","verified","true","185","15065661","15065661","HTTP Content-Length","Restricted - Possibly","8","0","0","0","5","239","33","139","35","5","10","11","6","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99017–006, NSC Procedural Manual—Binder 3 [1].","https://catalog.archives.gov/id/470760880","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99017-006.pdf"
"470760881","1989-01-01","1989-01-01","Winter 1989","Winter 1989 compilation; January 1 is a sorting key only","NSC Procedural Manual - Binder 3 [2]","99017-007","Series context and cross-volume routing","Series context","","","","verified","true","116","5929747","5929747","Catalog objectFileSize","Restricted - Possibly","2","0","0","0","24","141","56","28","22","1","11","10","13","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99017–007, NSC Procedural Manual—Binder 3 [2].","https://catalog.archives.gov/id/470760881","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99017-007.pdf"
"470760882","1989-01-01","1989-01-01","Winter 1989","Winter 1989 compilation; January 1 is a sorting key only","NSC Procedural Manual - Binder 4 [1]","99017-008","Series context and cross-volume routing","Series context","","","","verified","true","136","7345661","7345661","Catalog objectFileSize","Restricted - Possibly","2","0","0","0","2","104","48","3","19","2","17","5","10","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99017–008, NSC Procedural Manual—Binder 4 [1].","https://catalog.archives.gov/id/470760882","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99017-008.pdf"
"470760883","1989-01-01","1989-01-01","Winter 1989","Winter 1989 compilation; January 1 is a sorting key only","NSC Procedural Manual - Binder 4 [2]","99017-009","Series context and cross-volume routing","Series context","","","","verified","true","150","10930204","10930204","HTTP Content-Length","Restricted - Possibly","0","0","0","0","4","50","25","11","5","2","2","2","3","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99017–009, NSC Procedural Manual—Binder 4 [2].","https://catalog.archives.gov/id/470760883","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99017-009.pdf"
"470760884","1989-01-01","1989-01-01","Winter 1989","Winter 1989 compilation; January 1 is a sorting key only","NSC Procedural Manual - Binder 4 [3]","99017-010","Series context and cross-volume routing","Series context","","","","verified","true","111","38747624","38747624","HTTP Content-Length","Restricted - Possibly","4","0","0","0","13","12","0","12","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99017–010, NSC Procedural Manual—Binder 4 [3].","https://catalog.archives.gov/id/470760884","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99017-010.pdf"
"470760862","1989-01-01","1989-01-31","January 1989","Manual cover month","National Security Council Secretariat Procedure Manual [1]","99015-008","Series context and cross-volume routing","Series context","","","","verified","true","126","8604280","8604280","Catalog objectFileSize","Restricted - Possibly","16","0","0","0","6","16","0","4","8","4","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99015–008, National Security Council Secretariat Procedure Manual [1].","https://catalog.archives.gov/id/470760862","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99015-008.pdf"
"470760863","1989-01-01","1989-01-31","January 1989","Companion manual cover month","National Security Council Secretariat Procedure Manual [2]","99015-009","Series context and cross-volume routing","Series context","","","","verified","true","80","4374035","4374035","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","11","74","31","16","12","0","13","1","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99015–009, National Security Council Secretariat Procedure Manual [2].","https://catalog.archives.gov/id/470760863","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99015-009.pdf"
"470760864","1989-01-01","1989-01-31","January 1989","Catalog coverage month","[NSC: Reagan-Bush Transition Background Materials - Volume I - January 1989] [1]","99016-001","Series context and cross-volume routing","Series context","","","","verified","true","118","10183464","10183464","HTTP Content-Length","Restricted - Possibly","1","2","0","1","4","44","8","19","13","0","0","0","4","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99016–001, [NSC: Reagan-Bush Transition Background Materials—Volume I—January 1989] [1].","https://catalog.archives.gov/id/470760864","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99016-001.pdf"
"470760865","1989-01-01","1989-01-31","January 1989","Catalog coverage month","[NSC: Reagan-Bush Transition Background Materials - Volume I - January 1989] [2]","99016-002","Series context and cross-volume routing","Series context","","","","verified","true","179","9733467","9733467","Catalog objectFileSize","Restricted - Possibly","1","0","0","0","10","64","14","17","18","3","5","5","2","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99016–002, [NSC: Reagan-Bush Transition Background Materials—Volume I—January 1989] [2].","https://catalog.archives.gov/id/470760865","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99016-002.pdf"
"470760866","1989-01-01","1989-01-31","January 1989","Catalog coverage month","[NSC: Reagan-Bush Transition Background Materials - Volume I - January 1989] [3]","99016-003","Transition Economies and International Economic Strategy","Boundary review","NSC transition; Retained files; Stephen Farrar; Paris Economic Summit; Debt; Trade; Western lending","Stephen P. Farrar's one-page memorandum requests retention for Scowcroft's incoming staff of the International Economic Affairs Directorate files on agriculture, Brazil, budget, debt, the EC, energy, OECD, Panama, the Paris Summit, sanctions, the Soviet Union, trade, and Western lending to the Soviet bloc. It is primarily a compiler discovery and provenance lead, not a substitute for the retained substantive files.","the released January 6 Farrar memorandum is 1 page; duplicate copies also appear in NAIDs 470760865 and 470760868 and are not separately promoted","verified","true","141","12512703","12512703","HTTP Content-Length","Restricted - Possibly","0","0","0","0","5","60","6","25","7","14","3","5","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99016–003, [NSC: Reagan-Bush Transition Background Materials—Volume I—January 1989] [3].","https://catalog.archives.gov/id/470760866","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99016-003.pdf"
"470760867","1989-01-01","1989-01-31","January 1989","Catalog coverage month","[NSC: Reagan-Bush Transition Background Materials - Volume II - January 1989] [1]","99016-004","Series context and cross-volume routing","Series context","","","","verified","true","148","7295681","7295681","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","8","20","6","7","2","0","3","0","2","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99016–004, [NSC: Reagan-Bush Transition Background Materials—Volume II—January 1989] [1].","https://catalog.archives.gov/id/470760867","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99016-004.pdf"
"470760868","1989-01-01","1989-01-31","January 1989","Catalog coverage month","[NSC: Reagan-Bush Transition Background Materials - Volume II - January 1989] [2]","99016-005","Series context and cross-volume routing","Series context","","","","verified","true","127","8460229","8460229","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","16","38","6","18","5","3","3","3","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99016–005, [NSC: Reagan-Bush Transition Background Materials—Volume II—January 1989] [2].","https://catalog.archives.gov/id/470760868","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99016-005.pdf"
"470760869","1989-01-01","1989-01-31","January 1989","Catalog coverage month","[NSC: Reagan-Bush Transition Background Materials - Volume II - January 1989] [3]","99016-006","Series context and cross-volume routing","Series context","","","","verified","true","81","8073136","8073136","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","5","42","22","10","4","0","3","0","3","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99016–006, [NSC: Reagan-Bush Transition Background Materials—Volume II—January 1989] [3].","https://catalog.archives.gov/id/470760869","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99016-006.pdf"
"470760870","1989-01-01","1989-01-31","January 1989","Catalog coverage month","[NSC: Reagan-Bush Transition Background Materials - Volume III - January 1989] [1]","99016-007","Series context and cross-volume routing","Series context","","","","verified","true","69","4325411","4325411","Catalog objectFileSize","Restricted - Possibly","2","0","0","0","35","76","4","36","23","0","8","1","4","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99016–007, [NSC: Reagan-Bush Transition Background Materials—Volume III—January 1989] [1].","https://catalog.archives.gov/id/470760870","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99016-007.pdf"
"470760871","1989-01-01","1989-01-31","January 1989","Catalog coverage month","[NSC: Reagan-Bush Transition Background Materials - Volume III - January 1989] [2]","99016-008","Series context and cross-volume routing","Series context","","","","verified","true","45","3610840","3610840","Catalog objectFileSize","Restricted - Possibly","0","4","0","0","10","11","1","10","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99016–008, [NSC: Reagan-Bush Transition Background Materials—Volume III—January 1989] [2].","https://catalog.archives.gov/id/470760871","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99016-008.pdf"
"470760872","1989-01-01","1989-01-31","January 1989","Catalog coverage month","[NSC: Reagan-Bush Transition Background Materials - Volume III - January 1989] [3]","99016-009","Series context and cross-volume routing","Series context","","","","verified","true","201","8665123","8665123","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","0","33","9","5","10","2","4","1","2","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99016–009, [NSC: Reagan-Bush Transition Background Materials—Volume III—January 1989] [3].","https://catalog.archives.gov/id/470760872","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99016-009.pdf"
"470760856","1989-09-01","1989-09-30","September 1989","Manual month","National Security Council Administrative Manual","99015-002","Series context and cross-volume routing","Series context","","","","verified","true","119","9172351","9172351","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","0","67","5","28","4","21","2","1","6","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99015–002, National Security Council Administrative Manual.","https://catalog.archives.gov/id/470760856","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99015-002.pdf"
