"naid","workingStartDate","workingEndDate","dateBasis","title","localId","chapter","routing","markerStatus","pdfBytes","catalogPdfBytes","pdfByteBasis","accessStatus","memosToPresident","memosToScowcroft","memorandaOfConversation","meetingRecords","withdrawalSheets","economicSignalTotal","economySignals","financeSignals","tradeSignals","assistanceSanctionsSignals","energySignals","treasurySignals","archivalLocator","catalogUrl","pdfUrl"
"470760895","1989-04-14","1989-04-14","Catalog coverage dates","NSC0010 - April 14, 1989 - Review of Cambodia Policy","90000-011","Series context and cross-volume routing","Series context","verified","1855013","1855013","HTTP Content-Length","Restricted - Possibly","0","2","1","2","7","12","0","6","2","0","2","2","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–011, NSC0010—April 14, 1989—Review of Cambodia Policy.","https://catalog.archives.gov/id/470760895","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-10-90000-011.pdf"
"470760896","1989-04-18","1989-04-18","Catalog coverage dates","NSC0011 - April 18, 1989 - National Security Review 12 Section II Regarding Strategic Nuclear Deterrence [1]","90000-012","Series context and cross-volume routing","Series context","verified","3019465","3019465","HTTP Content-Length","Restricted - Possibly","0","0","0","0","8","7","0","7","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–012, NSC0011—April 18, 1989—National Security Review 12 Section II Regarding Strategic Nuclear Deterrence [1].","https://catalog.archives.gov/id/470760896","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-11_1-90000-012.pdf"
"470760897","1989-04-18","1989-04-18","Catalog coverage dates","NSC0011 - April 18, 1989 - National Security Review 12 Section II Regarding Strategic Nuclear Deterrence [2]","90000-013","Series context and cross-volume routing","Series context","verified","6221256","6221256","HTTP Content-Length","Restricted - Possibly","0","0","0","0","12","37","0","10","8","0","9","10","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–013, NSC0011—April 18, 1989—National Security Review 12 Section II Regarding Strategic Nuclear Deterrence [2].","https://catalog.archives.gov/id/470760897","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-11_2-90000-013.pdf"
"470760898","1989-04-28","1989-04-28","Catalog coverage dates","NSC0012 - April 28, 1989 - Panama [1]","90000-014","Series context and cross-volume routing","Series context","verified","3655655","3655655","Catalog objectFileSize","Restricted - Possibly","1","0","0","0","4","134","37","15","18","53","8","3","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–014, NSC0012—April 28, 1989—Panama [1].","https://catalog.archives.gov/id/470760898","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-12_1-90000-014.pdf"
"470760899","1989-04-28","1989-04-28","Catalog coverage dates","NSC0012 - April 28, 1989 - Panama [2]","90000-015","Series context and cross-volume routing","Series context","verified","20249891","8022981","HTTP Content-Length","Restricted - Possibly","0","1","0","0","7","56","18","10","10","16","1","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–015, NSC0012—April 28, 1989—Panama [2].","https://catalog.archives.gov/id/470760899","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-12_2-90000-015.pdf"
"470760900","1989-05-04","1989-05-04","Catalog coverage dates","NSC0013 - May 04, 1989 - Covert Action","90000-016","Series context and cross-volume routing","Series context","verified","18475397","18475396","HTTP Content-Length","Restricted - Possibly","0","0","0","1","32","71","0","26","3","5","21","16","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–016, NSC0013—May 04, 1989—Covert Action.","https://catalog.archives.gov/id/470760900","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-13-90000-016.pdf"
"470760901","1989-05-04","1989-05-04","Catalog coverage dates","NSC0014 - May 04, 1989 - Moscow Ministerial","90000-017","Series context and cross-volume routing","Series context","verified","4745018","4745018","HTTP Content-Length","Restricted - Possibly","0","2","0","1","2","11","8","1","0","0","1","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–017, NSC0014—May 04, 1989—Moscow Ministerial.","https://catalog.archives.gov/id/470760901","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-14-90000-017.pdf"
"470760902","1989-05-08","1989-05-08","Catalog coverage dates","NSC0015 - May 08, 1989 - Panama","90000-018","Series context and cross-volume routing","Series context","verified","9866510","9866510","HTTP Content-Length","Restricted - Possibly","0","2","0","3","18","132","33","24","18","32","8","17","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–018, NSC0015—May 08, 1989—Panama.","https://catalog.archives.gov/id/470760902","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-15-90000-018.pdf"
"470760903","1989-05-15","1989-05-15","Catalog coverage dates","NSC0016 - May 15, 1989 - Counter Narcotics in Peru","90000-019","Series context and cross-volume routing","Series context","verified","10547785","10547785","HTTP Content-Length","Restricted - Possibly","0","0","0","0","36","46","0","32","2","0","2","10","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–019, NSC0016—May 15, 1989—Counter Narcotics in Peru.","https://catalog.archives.gov/id/470760903","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-16-90000-019.pdf"
"470760904","1989-05-17","1989-05-17","Catalog coverage dates","NSC0017 - May 17, 1989 - National Security Review 12 - Sections II and III, US Defense Strategy for 1990","90001-001","Series context and cross-volume routing","Series context","verified","13596133","13596133","HTTP Content-Length","Restricted - Possibly","0","1","0","0","20","55","3","18","5","0","17","12","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–001, NSC0017—May 17, 1989—National Security Review 12—Sections II and III, US Defense Strategy for 1990.","https://catalog.archives.gov/id/470760904","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-17-90001-001.pdf"
"470760905","1989-05-23","1989-05-23","Catalog coverage dates","NSC0018 - May 23, 1989 - Angola [Empty]","90001-002","Series context and cross-volume routing","Series context","verified","369116","369116","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","0","0","0","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–002, NSC0018—May 23, 1989—Angola [Empty].","https://catalog.archives.gov/id/470760905","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-18-90001-002.pdf"
"470760907","1989-05-25","1989-05-25","Catalog coverage dates","NSC0020 - May 25, 1989 - Counter Narcotics in Peru, Review of National Security Review 12 - Section IV Regarding Arms Control Implications of Defense Strategy [1]","90001-004","Series context and cross-volume routing","Series context","verified","8177953","8177953","HTTP Content-Length","Restricted - Possibly","0","0","0","4","27","37","0","24","3","0","3","7","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–004, NSC0020—May 25, 1989—Counter Narcotics in Peru, Review of National Security Review 12—Section IV Regarding Arms Control Implications of Defense Strategy [1].","https://catalog.archives.gov/id/470760907","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-20_1-90001-004.pdf"
"470760908","1989-05-25","1989-05-25","Catalog coverage dates","NSC0020 - May 25, 1989 - Counter Narcotics in Peru, Review of National Security Review 12 - Section IV Regarding Arms Control Implications of Defense Strategy [2]","90001-005","Series context and cross-volume routing","Series context","verified","5569878","5569878","HTTP Content-Length","Restricted - Possibly","0","0","0","0","15","29","0","13","2","0","8","6","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–005, NSC0020—May 25, 1989—Counter Narcotics in Peru, Review of National Security Review 12—Section IV Regarding Arms Control Implications of Defense Strategy [2].","https://catalog.archives.gov/id/470760908","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-20_2-90001-005.pdf"
"470760906","1989-05-26","1989-05-26","Catalog coverage dates","NSC0019 - May 26, 1989 - Covert Action (File located @ LM)","90001-003","Series context and cross-volume routing","Series context","verified","949171","949171","HTTP Content-Length","Restricted - Possibly","0","0","0","0","1","0","0","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–003, NSC0019—May 26, 1989—Covert Action (File located @ LM).","https://catalog.archives.gov/id/470760906","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-19-90001-003.pdf"
"470760909","1989-06-07","1989-06-07","Catalog coverage dates","NSC0021 - June 07, 1989 - Strategic Arms Reduction Talks, Defense Policy, Space Issues","90001-006","Series context and cross-volume routing","Series context","verified","8560492","8560492","HTTP Content-Length","Restricted - Possibly","0","0","0","0","21","34","0","19","4","0","6","5","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–006, NSC0021—June 07, 1989—Strategic Arms Reduction Talks, Defense Policy, Space Issues.","https://catalog.archives.gov/id/470760909","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-21-90001-006.pdf"
"470760910","1989-06-15","1989-06-15","Catalog coverage dates","NSC0022 - June 15, 1989 - Strategic Arms Reduction Talks, Arms Control","90001-007","Series context and cross-volume routing","Series context","verified","9664065","9664065","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","42","61","0","38","4","0","10","9","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–007, NSC0022—June 15, 1989—Strategic Arms Reduction Talks, Arms Control.","https://catalog.archives.gov/id/470760910","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-22-90001-007.pdf"
"470760911","1989-06-23","1989-06-23","Catalog coverage dates","NSC0023 - June 23, 1989 - Persian Gulf [1]","90001-008","Series context and cross-volume routing","Series context","verified","14909013","14909013","HTTP Content-Length","Restricted - Possibly","0","1","0","6","7","129","32","8","15","6","60","8","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–008, NSC0023—June 23, 1989—Persian Gulf [1].","https://catalog.archives.gov/id/470760911","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-23_1-90001-008.pdf"
"470760912","1989-06-23","1989-06-23","Catalog coverage dates","NSC0023 - June 23, 1989 - Persian Gulf [2]","90001-009","Series context and cross-volume routing","Series context","verified","6343701","6343701","HTTP Content-Length","Restricted - Possibly","6","2","0","0","5","53","14","4","11","7","16","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–009, NSC0023—June 23, 1989—Persian Gulf [2].","https://catalog.archives.gov/id/470760912","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-23_2-90001-009.pdf"
"470760913","1989-06-25","1989-06-25","Catalog coverage dates","NSC0024 - July 25, 1989 - Covert Action Annual Review (File located @ LM)","90001-010","Series context and cross-volume routing","Series context","verified","2073600","2073600","HTTP Content-Length","Restricted - Possibly","0","0","0","0","1","0","0","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–010, NSC0024—July 25, 1989—Covert Action Annual Review (File located @ LM).","https://catalog.archives.gov/id/470760913","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-24-90001-010.pdf"
"470760915","1989-07-31","1989-07-31","Catalog coverage dates","NSC0025 - July 31, 1989 - Hostage Situation","90001-012","Series context and cross-volume routing","Series context","verified","2419252","2419252","HTTP Content-Length","Restricted - Possibly","0","0","0","4","4","6","0","3","0","0","2","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–012, NSC0025—July 31, 1989—Hostage Situation.","https://catalog.archives.gov/id/470760915","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-25-90001-012.pdf"
"470760916","1989-08-01","1989-08-02","Catalog coverage dates","[NSC0026] - [August 1-2, 1989] Hostage Situation [Meeting Folder Empty, See PA Limited Access File 9004018]","90001-013","Series context and cross-volume routing","Series context","verified","408855","408855","HTTP Content-Length","Restricted - Possibly","0","0","0","0","0","0","0","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–013, [NSC0026]—[August 1-2, 1989] Hostage Situation [Meeting Folder Empty, See PA Limited Access File 9004018].","https://catalog.archives.gov/id/470760916","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-26-90001-013.pdf"
"470760914","1989-08-02","1989-08-02","Catalog coverage dates","NSC0024a - August 02, 1989 - Covert Action Annual Review (File located @ LM)","90001-011","Series context and cross-volume routing","Series context","verified","954772","954772","HTTP Content-Length","Restricted - Possibly","0","0","0","0","0","0","0","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–011, NSC0024a—August 02, 1989—Covert Action Annual Review (File located @ LM).","https://catalog.archives.gov/id/470760914","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-24a-90001-011.pdf"
"470760917","1989-08-21","1989-08-21","Catalog coverage dates","NSC0027 - August 21, 1989 - International Drug Strategy Paper, Counter Narcotics (File located @ LM)","90001-014","Series context and cross-volume routing","Series context","verified","1004080","1004080","HTTP Content-Length","Restricted - Possibly","0","0","0","0","0","0","0","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–014, NSC0027—August 21, 1989—International Drug Strategy Paper, Counter Narcotics (File located @ LM).","https://catalog.archives.gov/id/470760917","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-27-90001-014.pdf"
"470760918","1989-09-11","1989-09-11","Catalog coverage dates","NSC0028 - September 11, 1989 - Savannah River Restarts, Tritium, Stockpiles, Nuclear Arms Control","90001-015","Series context and cross-volume routing","Series context","verified","7275858","7275858","HTTP Content-Length","Restricted - Possibly","0","0","0","0","15","32","0","13","4","0","8","7","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–015, NSC0028—September 11, 1989—Savannah River Restarts, Tritium, Stockpiles, Nuclear Arms Control.","https://catalog.archives.gov/id/470760918","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-28-90001-015.pdf"
"470760920","1989-09-14","1989-09-14","Catalog coverage dates","NSC0029 - September 14, 1989 - Chemical Weapons, Arms Control","90001-017","Series context and cross-volume routing","Series context","verified","4288132","4288132","HTTP Content-Length","Restricted - Possibly","0","0","0","0","12","15","0","10","0","0","2","3","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–017, NSC0029—September 14, 1989—Chemical Weapons, Arms Control.","https://catalog.archives.gov/id/470760920","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-29-90001-017.pdf"
"470760919","1989-09-27","1989-09-27","Catalog coverage dates","NSC0028a - September 27, 1989 - Nuclear Testing Deliberations, Arms Control, Verification","90001-016","Series context and cross-volume routing","Series context","verified","897756","897756","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","4","3","0","3","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–016, NSC0028a—September 27, 1989—Nuclear Testing Deliberations, Arms Control, Verification.","https://catalog.archives.gov/id/470760919","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-28a-90001-016.pdf"
"470760921","1989-10-03","1989-10-10","Catalog coverage dates","NSC0030 - October 03, 1989 - Poland, Economic Assistance","90001-018","Transition Economies and International Economic Strategy","Volume XXX review","verified","32592165","32592164","HTTP Content-Length","Restricted - Possibly","3","0","0","0","4","720","338","214","90","55","8","15","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–018, NSC0030—October 03, 1989—Poland, Economic Assistance.","https://catalog.archives.gov/id/470760921","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-30-90001-018.pdf"
"470760922","1989-10-18","1989-10-18","Catalog coverage dates","NSC0031 - October 18, 1989 - Panama","90001-019","Series context and cross-volume routing","Series context","verified","10928925","1963276","HTTP Content-Length","Restricted - Possibly","0","0","0","5","4","4","0","3","0","0","0","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–019, NSC0031—October 18, 1989—Panama.","https://catalog.archives.gov/id/470760922","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-31-90001-019.pdf"
"470760924","1989-10-19","1989-10-19","Catalog coverage dates","NSC0032 - October 19, 1989 - Panama [1]","90001-021","Series context and cross-volume routing","Series context","verified","9056157","9056157","HTTP Content-Length","Restricted - Possibly","0","0","0","4","15","19","0","12","2","0","2","3","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–021, NSC0032—October 19, 1989—Panama [1].","https://catalog.archives.gov/id/470760924","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-32_1-90001-021.pdf"
"470760925","1989-10-19","1989-10-19","Catalog coverage dates","NSC0032 - October 19, 1989 - Panama [2]","90001-022","Series context and cross-volume routing","Series context","verified","11569512","11569512","HTTP Content-Length","Restricted - Possibly","0","2","0","0","18","55","4","15","12","0","12","12","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–022, NSC0032—October 19, 1989—Panama [2].","https://catalog.archives.gov/id/470760925","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-32_2-90001-022.pdf"
