"id","date","title","heading","dateline","type","chapter","selection","releaseStatus","pageCount","withheldPages","extentLabel","classification","naid","localId","sourceNoteStatus","archivalLocator","notes","catalogUrl","pdfUrl"
"lead-470760933","1990-01-17","NSC0036—January 17, 1990—Panama [2]","National Security Council Meeting File: NSC0036—January 17, 1990—Panama [2]","January 17, 1990","NSC meeting file","Monetary Policy, Debt, and International Institutions","Boundary","Partly released","71","","71 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760933","90001–030","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–030, NSC0036—January 17, 1990—Panama [2].","Boundary review. The second Panama packet repeats the economic recovery report and related policy papers, correspondence, and meeting material. Compare with parts 1 and 3 and deduplicate the repeated report and cables at the intellectual-document level.","https://catalog.archives.gov/id/470760933","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-36_2-90001-030.pdf"
"lead-470760934","1990-01-17","NSC0036—January 17, 1990—Panama [3]","National Security Council Meeting File: NSC0036—January 17, 1990—Panama [3]","January 17, 1990","NSC meeting file","Monetary Policy, Debt, and International Institutions","Boundary","Partly released","35","","35 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760934","90001–031","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–031, NSC0036—January 17, 1990—Panama [3].","Boundary review. The third Panama packet centers on the OMB recovery paper and its interagency circulation. Review with parts 1 and 2; retain only distinct decision records or materially different versions.","https://catalog.archives.gov/id/470760934","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-36_3-90001-031.pdf"
"lead-470760935","1990-01-18","NSC0037—January 18, 1990—International Economic Policy [1]","National Security Council Meeting File: NSC0037—January 18, 1990—International Economic Policy [1]","January 18, 1990","NSC meeting file","Monetary Policy, Debt, and International Institutions","Core","Partly released","44","","44 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760935","90001–032","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–032, NSC0037—January 18, 1990—International Economic Policy [1].","Direct Volume XXX review. The first part identifies an 8-page Secret NSC meeting record, a January 17 memorandum from Nicholas Brady to the President, and a policy report. Some material appears to be a parallel copy of records in Michael J. Boskin's NSC Meeting Files, including NARA Catalog ID 492062327; deduplicate at the intellectual-document level.","https://catalog.archives.gov/id/470760935","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-37_1-90001-032.pdf"
"lead-470760936","1990-01-18","NSC0037—January 18, 1990—International Economic Policy [2]","National Security Council Meeting File: NSC0037—January 18, 1990—International Economic Policy [2]","January 18, 1990","NSC meeting file","Monetary Policy, Debt, and International Institutions","Core","Partly released","43","","43 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760936","90001–033","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–033, NSC0037—January 18, 1990—International Economic Policy [2].","Direct Volume XXX review. The second part continues the January 18 international-economic-policy meeting file. Compare every item with the Boskin NSC Meeting Files before creating document-level entries.","https://catalog.archives.gov/id/470760936","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-37_2-90001-033.pdf"
"lead-470760939","1990-02-09","NSC0039—February 09, 1990—East Asia Strategy, National Security Review on Philippines Military Base Access [1]","National Security Council Meeting File: NSC0039—February 09, 1990—East Asia Strategy, National Security Review on Philippines Military Base Access [1]","February 9, 1990","NSC meeting file","Monetary Policy, Debt, and International Institutions","Boundary","Partly released","24","","24 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760939","90002–001","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90002–001, NSC0039—February 09, 1990—East Asia Strategy, National Security Review on Philippines Military Base Access [1].","Boundary review. The first East Asia packet identifies an 8-page Secret NSC meeting record and supporting strategy papers. Parts 2 and 3 contain explicit debt-reduction, assistance, and trade-compensation options tied to Philippine base access; adjudicate the packet against the East Asia and security volumes.","https://catalog.archives.gov/id/470760939","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-39_1-90002-001.pdf"
"lead-470760940","1990-02-09","NSC0039—February 09, 1990—East Asia Strategy, National Security Review on Philippines Military Base Access [2]","National Security Council Meeting File: NSC0039—February 09, 1990—East Asia Strategy, National Security Review on Philippines Military Base Access [2]","February 9, 1990","NSC meeting file","Monetary Policy, Debt, and International Institutions","Boundary","Partly released","58","","58 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760940","90002–002","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90002–002, NSC0039—February 09, 1990—East Asia Strategy, National Security Review on Philippines Military Base Access [2].","Boundary review. The second East Asia packet includes options for debt reduction, Japanese financial participation, long-term assistance, and non-traditional trade compensation. Review item by item for records that illuminate U.S. debt strategy rather than only the base negotiation.","https://catalog.archives.gov/id/470760940","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-39_2-90002-002.pdf"
"lead-470760941","1990-02-09","NSC0039—February 09, 1990—East Asia Strategy, National Security Review on Philippines Military Base Access [3]","National Security Council Meeting File: NSC0039—February 09, 1990—East Asia Strategy, National Security Review on Philippines Military Base Access [3]","February 9, 1990","NSC meeting file","Monetary Policy, Debt, and International Institutions","Boundary","Partly released","55","","55 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760941","90002–003","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90002–003, NSC0039—February 09, 1990—East Asia Strategy, National Security Review on Philippines Military Base Access [3].","Boundary review. The third East Asia packet repeats many part 2 papers and adds interagency records. Deduplicate debt-reduction and compensation options across all three parts before promoting any document.","https://catalog.archives.gov/id/470760941","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-39_3-90002-003.pdf"
"lead-470760942","1990-02-12","NSC0040—February 12, 1990—Coordinating Committee for Multilateral Strategic Export Controls, Eastern Europe","National Security Council Meeting File: NSC0040—February 12, 1990—Coordinating Committee for Multilateral Strategic Export Controls, Eastern Europe","February 12, 1990","NSC meeting file","Strategic Trade, Technology, and Investment Controls","Core","Partly released","69","","69 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760942","90002–004","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90002–004, NSC0040—February 12, 1990—Coordinating Committee for Multilateral Strategic Export Controls, Eastern Europe.","Direct Volume XXX review. The file identifies a 5-page Secret NSC meeting record, duplicate copies, and background material on COCOM policy toward Eastern Europe. Compare with NSR-22 and later directive files before selection.","https://catalog.archives.gov/id/470760942","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-40-90002-004.pdf"
"lead-470760944","1990-03-29","NSC0042—March 29, 1990—Fiber Optic Systems for the USSR","National Security Council Meeting File: NSC0042—March 29, 1990—Fiber Optic Systems for the USSR","March 29, 1990","NSC meeting file","Strategic Trade, Technology, and Investment Controls","Core","Partly released","57","","57 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760944","90002–006","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90002–006, NSC0042—March 29, 1990—Fiber Optic Systems for the USSR.","Direct Volume XXX review. This supersedes the earlier standalone locator for the same NAID. The file identifies a 6-page Secret NSC meeting record and related preparation and follow-up material.","https://catalog.archives.gov/id/470760944","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-42-90002-006.pdf"
"lead-470760945","1990-04-17","NSC0043—April 17, 1990—Lithuania, USSR [1]","National Security Council Meeting File: NSC0043—April 17, 1990—Lithuania, USSR [1]","April 17, 1990","NSC meeting file","Transition Economies and International Economic Strategy","Boundary","Partly released","32","","32 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760945","90002–007","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90002–007, NSC0043—April 17, 1990—Lithuania, USSR [1].","Boundary review. The first Lithuania packet identifies a 7-page Secret NSC meeting record and presidential briefing material. The meeting weighs suspension of the trade, tax, investment, and technical-cooperation agenda and possible energy assistance to Lithuania. Primary placement likely lies in a Soviet or regional volume.","https://catalog.archives.gov/id/470760945","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-43_1-90002-007.pdf"
"lead-470760946","1990-04-17","NSC0043—April 17, 1990—Lithuania, USSR [2]","National Security Council Meeting File: NSC0043—April 17, 1990—Lithuania, USSR [2]","April 17, 1990","NSC meeting file","Transition Economies and International Economic Strategy","Boundary","Partly released","57","","57 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760946","90002–008","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90002–008, NSC0043—April 17, 1990—Lithuania, USSR [2].","Boundary review. The second Lithuania packet contains economic-options analysis, energy reporting, and material on possible oil deliveries and suspension of the bilateral economic agenda. Review with part 1 and the April 23 sanctions packet, removing repeated talking points and options papers.","https://catalog.archives.gov/id/470760946","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-43_2-90002-008.pdf"
"lead-470760947","1990-04-23","NSC0043a—April 23, 1990—Lithuania, USSR, Sanctions","National Security Council Meeting File: NSC0043a—April 23, 1990—Lithuania, USSR, Sanctions","April 23, 1990","NSC meeting file","Transition Economies and International Economic Strategy","Boundary","Partly released","15","","15 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760947","90002–009","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90002–009, NSC0043a—April 23, 1990—Lithuania, USSR, Sanctions.","Boundary review. The file includes presidential talking points and a memorandum to Brent Scowcroft concerning Lithuania and possible sanctions. Economic-instrument content may support selection, but primary placement likely lies in a regional or Soviet volume.","https://catalog.archives.gov/id/470760947","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-43a-90002-009.pdf"
"lead-470760948","1990-04-30","NSC0044—April 30, 1990—Cape York, Coordinating Committee for Multilateral Strategic Export Controls","National Security Council Meeting File: NSC0044—April 30, 1990—Cape York, Coordinating Committee for Multilateral Strategic Export Controls","April 30, 1990","NSC meeting file","Strategic Trade, Technology, and Investment Controls","Core","Partly released","72","","72 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760948","90002–010","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90002–010, NSC0044—April 30, 1990—Cape York, Coordinating Committee for Multilateral Strategic Export Controls.","Direct Volume XXX review. The file identifies a 5-page Secret NSC meeting record and follow-up material on Cape York and COCOM. Review alongside NSC0045 and the related directive record.","https://catalog.archives.gov/id/470760948","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-44-90002-010.pdf"
"lead-470760949","1990-04-30","NSC0045—April 30, 1990—Coordinating Committee for Multilateral Strategic Export Controls","National Security Council Meeting File: NSC0045—April 30, 1990—Coordinating Committee for Multilateral Strategic Export Controls","April 30, 1990","NSC meeting file","Strategic Trade, Technology, and Investment Controls","Core","Partly released","73","","73 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760949","90002–011","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90002–011, NSC0045—April 30, 1990—Coordinating Committee for Multilateral Strategic Export Controls.","Direct Volume XXX review. The file contains COCOM notification, agenda and background papers, presidential talking points, and additional briefing points. Check for overlap with NSC0044 and NSD-39.","https://catalog.archives.gov/id/470760949","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-45-90002-011.pdf"
"lead-470760952","1990-07-25","NSC0048—July 25, 1990—Cape York, Space Policy, USSR","National Security Council Meeting File: NSC0048—July 25, 1990—Cape York, Space Policy, USSR","July 25, 1990","NSC meeting file","Strategic Trade, Technology, and Investment Controls","Boundary","Partly released","85","","85 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760952","90002–014","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90002–014, NSC0048—July 25, 1990—Cape York, Space Policy, USSR.","Boundary review. The file identifies a 10-page NSC meeting record and agency positions on Cape York, space policy, and the Soviet Union. Retain for strategic-trade review while adjudicating the principal space-policy placement.","https://catalog.archives.gov/id/470760952","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-48-90002-014.pdf"
"lead-470760953","1990-08-02","NSC0049—August 02, 1990—Persian Gulf Crisis, Iraq, Kuwait","National Security Council Meeting File: NSC0049—August 02, 1990—Persian Gulf Crisis, Iraq, Kuwait","August 2, 1990","NSC meeting file","Monetary Policy, Debt, and International Institutions","Boundary","Partly released","15","","15 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760953","90002–015","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90002–015, NSC0049—August 02, 1990—Persian Gulf Crisis, Iraq, Kuwait.","Boundary review. The August 2 agenda assigns Secretary Brady the economic initiatives and calls for diplomatic, economic, and military next steps. The online file is short and may not preserve a complete meeting record, but its economic component should remain visible for Gulf-volume adjudication.","https://catalog.archives.gov/id/470760953","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-49-90002-015.pdf"
"lead-470760954","1990-08-03","NSC0049a—August 03, 1990—Persian Gulf Crisis, Iraq, Kuwait","National Security Council Meeting File: NSC0049a—August 03, 1990—Persian Gulf Crisis, Iraq, Kuwait","August 3, 1990","NSC meeting file","Monetary Policy, Debt, and International Institutions","Boundary","Partly released","38","","38 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760954","90002–016","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90002–016, NSC0049a—August 03, 1990—Persian Gulf Crisis, Iraq, Kuwait.","Boundary review. The file identifies a 12-page Secret NSC meeting record and presidential briefing material. NARA OCR describes economic and energy options, export controls, and sanctions; primary placement likely lies in the Gulf volume.","https://catalog.archives.gov/id/470760954","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-49a-90002-016.pdf"
"lead-470760955","1990-08-04","NSC0050—August 04, 1990—Iraqi Invasion of Kuwait, Persian Gulf","National Security Council Meeting File: NSC0050—August 04, 1990—Iraqi Invasion of Kuwait, Persian Gulf","August 4, 1990","NSC meeting file","Monetary Policy, Debt, and International Institutions","Boundary","Partly released","16","","16 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760955","90002–017","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90002–017, NSC0050—August 04, 1990—Iraqi Invasion of Kuwait, Persian Gulf.","Boundary review. The file contains an 8-page Secret NSC meeting record discussing Iraq's export capacity, sanctions enforcement, and oil. Retain as a compact cross-volume lead.","https://catalog.archives.gov/id/470760955","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-50-90002-017.pdf"
"lead-470760957","1990-08-06","NSC0052—August 06, 1990—Iraqi Invasion of Kuwait, Persian Gulf","National Security Council Meeting File: NSC0052—August 06, 1990—Iraqi Invasion of Kuwait, Persian Gulf","August 6, 1990","NSC meeting file","Monetary Policy, Debt, and International Institutions","Boundary","Partly released","20","","20 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760957","90002–019","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90002–019, NSC0052—August 06, 1990—Iraqi Invasion of Kuwait, Persian Gulf.","Boundary review. The file identifies a 7-page Secret NSC meeting record with discussion by Nicholas Brady and Michael Boskin of oil prices, financial markets, inflation, GNP, import costs, sanctions, and strategic petroleum options. This is the strongest early Gulf-crisis economic meeting lead.","https://catalog.archives.gov/id/470760957","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-52-90002-019.pdf"
