"naid","workingStartDate","workingEndDate","dateBasis","title","localId","chapter","routing","markerStatus","markerFolderId","catalogFolderId","markerIdNote","hasOnlinePdf","pdfPages","pdfBytes","catalogPdfBytes","pdfByteBasis","accessStatus","memosToPresident","memosToScowcroft","memorandaOfConversation","meetingRecords","withdrawalSheets","economicSignalTotal","economySignals","financeSignals","tradeSignals","assistanceSanctionsSignals","energySignals","agricultureSignals","treasurySignals","archivalLocator","catalogUrl","pdfUrl"
"446396824","1989-06-06","1989-06-06","Catalog coverage dates","NSD-12 - June 06, 1989 - Lifting the No-Exceptions Policy","90003-015","Strategic Trade, Technology, and Investment Controls","Volume XXX review","verified","90003-015","90003-015","","true","20","5559344","5559344","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","4","35","1","3","13","4","5","4","5","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–015, NSD–12—June 6, 1989—Lifting the No-Exceptions Policy.","https://catalog.archives.gov/id/446396824","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-12-90003-015.pdf"
"446396825","1989-06-07","1989-06-07","Catalog coverage dates","NSD-13 - June 07, 1989 - Cocaine Trafficking","90003-016","Series context and cross-volume routing","Series context","verified with handwritten correction","","90003-016","Folder ID corrected by hand to 90003-016","true","36","8164084","8164084","Catalog objectFileSize","Restricted - Possibly","0","0","0","1","6","37","1","5","7","2","6","6","10","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–016, NSD–13—June 7, 1989—Cocaine Trafficking.","https://catalog.archives.gov/id/446396825","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-13-90003-016.pdf"
"446396826","1989-06-07","1989-06-07","Withdrawal sheet date for signed annex","NSD-13a - ..... - Classified Title (File located @ LM)","90003-017","Series context and cross-volume routing","Series context","verified with handwritten correction","","90003-017","Folder ID corrected by hand to 90003-017","true","25","5201600","5201600","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","18","19","0","16","1","2","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–017, NSD–13a—.....—Classified Title (File located @ LM).","https://catalog.archives.gov/id/446396826","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-13a-90003-017.pdf"
"446396827","1989-06-14","1989-06-14","Catalog coverage dates","NSD-14 - June 14, 1989 - ICBM Modernization and Strategic Defense Initiative","90003-018","Series context and cross-volume routing","Series context","verified with handwritten correction","","90003-018","Folder ID corrected by hand to 90003-018","true","104","21020125","21020124","HTTP Content-Length","Restricted - Possibly","0","1","0","0","26","73","5","22","15","0","13","9","9","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–018, NSD–14—June 14, 1989—ICBM Modernization and Strategic Defense Initiative.","https://catalog.archives.gov/id/446396827","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-14-90003-018.pdf"
"446396828","1989-06-22","1989-06-22","Catalog coverage dates","NSD-15 - June 22, 1989 - Open Skies [1]","90003-019","Series context and cross-volume routing","Series context","not online","","90003-019","","false","0","0","0","No online PDF","Restricted - Possibly","0","0","0","0","0","0","0","0","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–019, NSD–15—June 22, 1989—Open Skies [1].","https://catalog.archives.gov/id/446396828",""
"446396829","1989-06-22","1989-06-22","Catalog coverage dates","NSD-15 - June 22, 1989 - Open Skies [2]","90003-020","Series context and cross-volume routing","Series context","verified with handwritten correction","90003-020","90003-020","Folder ID corrected by hand to 90003-020","true","63","20926147","20926148","HTTP Content-Length","Restricted - Possibly","0","0","0","0","14","75","1","12","15","0","17","15","15","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–020, NSD–15—June 22, 1989—Open Skies [2].","https://catalog.archives.gov/id/446396829","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-15_2-90003-020.pdf"
"446396830","1989-07-08","1989-07-08","Catalog coverage dates","NSD-16 - July 08, 1989 - Middle East Peace Process","90003-021","Series context and cross-volume routing","Series context","verified with catalog ID mismatch","90003-019","90003-021","90003-019 on the marker; 90003-021 in the Catalog and digital-object path","true","33","14100218","14100218","HTTP Content-Length","Restricted - Possibly","1","1","0","0","1","45","3","0","10","0","11","10","11","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–021, NSD–16—July 8, 1989—Middle East Peace Process.","https://catalog.archives.gov/id/446396830","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-16-90003-021.pdf"
"446396831","1989-07-22","1989-07-22","Catalog coverage dates","NSD-17 - July 22, 1989 - U.S. Actions in Panama","90003-022","Series context and cross-volume routing","Series context","verified","90003-022","90003-022","","true","9","2008357","2008357","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","3","3","0","2","0","0","0","0","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–022, NSD–17—July 22, 1989—U.S. Actions in Panama.","https://catalog.archives.gov/id/446396831","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-17-90003-022.pdf"
"446396832","1989-08-21","1989-08-21","Catalog coverage dates","NSD-18 - August 21, 1989 - International Counternarcotics Strategy","90003-023","Monetary Policy, Debt, and International Institutions","Boundary review","verified","90003-023","90003-023","Source image shows 90003-023; NARA OCR omitted the Folder ID","true","160","27937126","27937126","HTTP Content-Length","Restricted - Possibly","0","0","0","0","68","182","51","60","15","11","12","10","23","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–023, NSD–18—August 21, 1989—International Counternarcotics Strategy.","https://catalog.archives.gov/id/446396832","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-18-90003-023.pdf"
"446396833","1989-08-23","1989-08-23","Catalog coverage dates","NSD-18a - August 23, 1989 - Annex to NSD-18 Regarding International Counternarcotics Strategy (File located @ LM)","90003-024","Monetary Policy, Debt, and International Institutions","Boundary review","verified with handwritten correction","","90003-024","Folder ID corrected by hand to 90003-024","true","59","10403117","10403117","HTTP Content-Length","Restricted - Possibly","0","0","0","0","26","83","11","24","14","9","2","11","12","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–024, NSD–18a—August 23, 1989—Annex to NSD–18 Regarding International Counternarcotics Strategy (File located @ LM).","https://catalog.archives.gov/id/446396833","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-18a-90003-024.pdf"
"446396834","1989-08-24","1989-08-24","Catalog coverage dates","NSD-19 - August 24, 1989 - U.S. Policy toward Libya","90003-025","Series context and cross-volume routing","Series context","verified with catalog ID mismatch","90003-023","90003-025","90003-023 on the marker; 90003-025 in the Catalog and digital-object path","true","12","3191296","3191296","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","5","13","1","4","2","0","2","2","2","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–025, NSD–19—August 24, 1989—U.S. Policy toward Libya.","https://catalog.archives.gov/id/446396834","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-19-90003-025.pdf"
"446396835","1989-08-24","1989-08-24","Withdrawal sheet date for signed annex","NSD-19a - ..... - Classified Title (File located @ LM)","90003-026","Series context and cross-volume routing","Series context","verified with handwritten correction","","90003-026","Folder ID corrected by hand to 90003-026","true","29","9060814","9060814","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","6","52","1","5","11","1","12","11","11","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–026, NSD–19a—.....—Classified Title (File located @ LM).","https://catalog.archives.gov/id/446396835","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-19a-90003-026.pdf"
"446396836","1989-08-29","1989-08-29","Catalog coverage dates","NSD-20 - August 29, 1989 - U.S. Policy toward South Asia","90003-027","Trade Policy and Market Access","Boundary review","verified with handwritten correction","","90003-027","Folder ID corrected by hand to 90003-027","true","45","12531220","12531220","HTTP Content-Length","Restricted - Possibly","0","0","0","0","11","97","25","9","27","0","11","11","14","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–027, NSD–20—August 29, 1989—U.S. Policy toward South Asia.","https://catalog.archives.gov/id/446396836","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-20-90003-027.pdf"
"446396837","1989-09-01","1989-09-01","Catalog coverage dates","NSD-21 - September 01, 1989 - U.S. Policy toward Panama under Noriega after 1 September 1989","90003-028","Series context and cross-volume routing","Series context","verified with catalog ID mismatch","90003-026","90003-028","90003-026 on the marker; 90003-028 in the Catalog and digital-object path","true","21","7292949","7292949","Catalog objectFileSize","Restricted - Possibly","3","0","0","0","0","20","2","0","3","2","3","3","7","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–028, NSD–21—September 1, 1989—U.S. Policy toward Panama under Noriega after 1 September 1989.","https://catalog.archives.gov/id/446396837","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-21-90003-028.pdf"
"446396841","1989-09-11","1989-09-11","Catalog coverage dates","NSD-25 - September 11, 1989 - U.S. Policy toward February 1990 Nicaraguan Election","90003-032","Series context and cross-volume routing","Series context","verified with catalog ID mismatch","90003-030","90003-032","90003-030 on the marker; 90003-032 in the Catalog and digital-object path","true","3","922679","922679","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","0","0","0","0","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–032, NSD–25—September 11, 1989—U.S. Policy toward February 1990 Nicaraguan Election.","https://catalog.archives.gov/id/446396841","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-25-90003-032.pdf"
"446396838","1989-09-20","1989-09-20","Catalog coverage dates","NSD-22 - September 20, 1989 - U.S. Policy on Nuclear Testing and Arms Control","90003-029","Series context and cross-volume routing","Series context","verified with handwritten correction","","90003-029","Folder ID corrected by hand to 90003-029","true","75","14142600","14142600","HTTP Content-Length","Restricted - Possibly","0","0","0","0","35","78","1","31","17","0","12","8","9","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–029, NSD–22—September 20, 1989—U.S. Policy on Nuclear Testing and Arms Control.","https://catalog.archives.gov/id/446396838","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-22-90003-029.pdf"
"446396839","1989-09-22","1989-09-22","Catalog coverage dates","NSD-23 - September 22, 1989 - U.S. Relations with the Soviet Union","90003-030","Transition Economies and International Economic Strategy","Volume XXX review","verified with handwritten correction","","90003-030","Folder ID corrected by hand to 90003-030","true","67","18396227","18396228","HTTP Content-Length","Restricted - Possibly","2","3","0","0","7","117","45","10","28","0","11","11","12","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–030, NSD–23—September 22, 1989—U.S. Relations with the Soviet Union.","https://catalog.archives.gov/id/446396839","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-23-90003-030.pdf"
"446396842","1989-09-22","1989-09-22","Action profile date for signed NSD annex","NSD-25a - ..... - Classified Title","90003-033","Series context and cross-volume routing","Series context","verified with catalog ID mismatch","90003-031","90003-033","90003-031 on the marker; 90003-033 in the Catalog and digital-object path","true","18","3662743","3662743","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","4","26","1","3","5","2","5","5","5","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–033, NSD–25a—.....—Classified Title.","https://catalog.archives.gov/id/446396842","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-25a-90003-033.pdf"
"446396840","1989-09-26","1989-09-26","Catalog coverage dates","NSD-24 - September 26, 1989 - Chemical Weapons Arms Control Initiative","90003-031","Series context and cross-volume routing","Series context","verified with handwritten correction","","90003-031","Folder ID corrected by hand to 90003-031","true","57","13219817","13219817","HTTP Content-Length","Restricted - Possibly","0","2","0","0","13","69","1","11","13","6","14","11","13","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–031, NSD–24—September 26, 1989—Chemical Weapons Arms Control Initiative.","https://catalog.archives.gov/id/446396840","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-24-90003-031.pdf"
"446396843","1989-10-02","1989-10-02","Catalog coverage dates","NSD-26 - October 02, 1989 - U.S. Policy toward the Persian Gulf","90003-034","Trade Policy and Market Access","Boundary review","verified with catalog ID mismatch","90003-032","90003-034","90003-032 on the marker; 90003-034 in the Catalog and digital-object path","true","119","22822631","22822632","HTTP Content-Length","Restricted - Possibly","3","4","0","1","8","264","34","9","81","41","51","30","18","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–034, NSD–26—October 2, 1989—U.S. Policy toward the Persian Gulf.","https://catalog.archives.gov/id/446396843","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-26-90003-034.pdf"
"446396844","1989-10-02","1989-10-02","Catalog coverage dates","NSD-27 - October 02, 1989 - Soviet Emigration Policy","90003-035","Strategic Trade, Technology, and Investment Controls","Volume XXX review","verified","90003-035","90003-035","","true","84","18273497","18273496","HTTP Content-Length","Restricted - Possibly","7","2","0","0","28","57","3","25","7","0","7","7","8","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–035, NSD–27—October 2, 1989—Soviet Emigration Policy.","https://catalog.archives.gov/id/446396844","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-27-90003-035.pdf"
"446396845","1989-10-05","1989-10-05","Catalog coverage dates","NSD-28 - October 05, 1989 - National Security Directive on Sealift","90003-036","Trade Policy and Market Access","Boundary review","verified","90003-036","90003-036","","true","131","32299260","32299260","HTTP Content-Length","Restricted - Possibly","0","4","0","0","23","143","19","22","39","0","18","22","23","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–036, NSD–28—October 5, 1989—National Security Directive on Sealift.","https://catalog.archives.gov/id/446396845","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-28-90003-036.pdf"
"446396811","1989-10-25","1989-10-25","Catalog coverage dates","NSD-1a - October 25, 1989 - Supplement to National Security Directive 1 (Crisis Management) (File located @ LM)","90003-002","Series context and cross-volume routing","Series context","verified","90003-002","90003-002","","true","1","443814","443814","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","0","0","0","0","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–002, NSD–1a—October 25, 1989—Supplement to National Security Directive 1 (Crisis Management) (File located @ LM).","https://catalog.archives.gov/id/446396811","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-1a-90003-002.pdf"
"446396812","1989-10-25","1989-10-25","Catalog coverage dates","NSD-1a - October 25, 1989 - Supplement to National Security Directive 1 (Crisis Management) (File located @ LM)","90003-003","Series context and cross-volume routing","Series context","verified","90003-003","90003-003","","true","90","19810370","19810370","HTTP Content-Length","Restricted - Possibly","0","0","0","0","9","151","15","6","30","0","33","22","45","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–003, NSD–1a—October 25, 1989—Supplement to National Security Directive 1 (Crisis Management) (File located @ LM).","https://catalog.archives.gov/id/446396812","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-2-90003-003.pdf"
"446396846","1989-10-30","1989-10-30","Catalog coverage dates","NSD-29 - October 30, 1989 - FY 1990 Aqueduct Nuclear Test Program","90003-037","Series context and cross-volume routing","Series context","verified","90003-037","90003-037","","true","65","17100268","17100268","HTTP Content-Length","Restricted - Possibly","0","0","0","0","20","83","1","17","10","0","35","10","10","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–037, NSD–29—October 30, 1989—FY 1990 Aqueduct Nuclear Test Program.","https://catalog.archives.gov/id/446396846","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-29-90003-037.pdf"
