naid,localId,seriesNaid,seriesLocalId,seriesTitle,containerId,title,workingStartDate,workingEndDate,workingDateLabel,datePrecision,dateBasis,chapter,selection,routing,accessStatus,accessRestrictionNote,useStatus,markerStatus,markerRecordGroup,markerOffice,markerSeries,markerSubseries,markerOaId,markerFolderId,objectId,pdfBytes,ocrCharacterCount,memosToPresident,memosToScowcroft,memosToPorter,memorandaOfConversation,meetingRecords,withdrawalSheets,economicSignalTotal,tradeSignals,financeSignals,summitsSignals,transitionSignals,controlsSignals,reviewTopics,reviewFocus,economicSubjectLeads,archivalLocator,catalogUrl,pdfUrl
509545457,04824-004,505628525,GB-POD-025,J. French Hill 1990 EPC Meetings Files,04824,"EPC Meeting: Oil Export Study, 11/28/89",1989-11-28,1989-11-28,"November 28, 1989",day,Explicit folder-title date,Trade Policy and Market Access,Core,Volume XXX review,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | J. French Hill 1990 EPC Meetings Files,"Finding-aid lead retained because of foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.",,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, J. French Hill 1990 EPC Meetings Files, OA/ID 04824–004, EPC Meeting: Oil Export Study, 11/28/89.",https://catalog.archives.gov/id/509545457,
285411055,06683-004,2600820,GB-POD-022,Ed Goldstein Subject Files,06683,EPA - Global Climate Change [The Potential for Global Climate Change on the United States 12/89],1989-12-01,1989-12-31,December 1989,month,Explicit folder-title date,Economic Summits and Industrialized-Country Cooperation,Consider,Selective review,Restricted - Possibly,Records may be closed under restrictions of the Presidential Records Act and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific closures and restrictions.,Unrestricted,verified in OCR,George H.W. Bush Presidential Records,"Policy Development, White House Office of","Goldstein, Ed, Files",,06683,06683-004,285411056,1234,1407014,0,0,0,0,0,0,3,0,3,0,0,0,White House Office of Policy Development | Ed Goldstein Subject Files | Global environment,"Finding-aid lead retained because of global climate or summit-environment title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.","latively rapid climate change may be particularly acute. Sea level rise could lead to the loss of many coastal | affirmed these estimates. Such a climate change | gional climate change scenarios to reflect the | sponse to gradual global warming. If change | to uncertainties about climate change and | quirements, assuming no climate change. By | latively rapid global climate changes. In | latively flat curve from 1940 to 1975 show that there are also other important causes of climate change (Wigley | sult of climate change, to particular impact areas | sponses of forests to CO2-induced climate change. | gional climate change. They should be | spond to global warming. | gional estimates of climate change from GCMs, | sponse to CO2-induced global warming) would | liably detect the effects of rapid climate change? | sponses of forests to CO₂ induced climate change. | sources. With climate change alone, corn | main the same in the climate change scenarios, | lief, recovery, and mitigation of climate change | gions to climate change should also be considered. | search on climate change and livestock | lative sea level rise. Although climate change | sponse to global warming would require a 200- to | spond to climate change by moving into a new | duced as a result of climate change, powerplants | spond to climate change in the absence of | fine global climate change models and | solved regarding climate change and air quality | sulting from climate change should be | spiratory system because climate change can | duced under global warming. | spond to a disease, and global warming | act to climate change by redrawing | sponse to global climate change. Fortunately, air- | sult from climate change. | sponse to climate change. | sponse to climate change (Sheer and Randall, | sponse to climate change should focus on how the | ductions were not as great as with climate change | sponse to climate change, but Pacific Coast State | st of the region, unless climate change is | sponses to climate change. Intensified agriculture | spond to climate change. Their analysis relied | quirements without climate change are estimated | gional climate change with regional | spond to global warming, based on what people | sponses to CO2-Induced Climate Change.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Ed Goldstein Subject Files, OA/ID 06683–004, EPA - Global Climate Change [The Potential for Global Climate Change on the United States 12/89].",https://catalog.archives.gov/id/285411055,https://catalog.archives.gov/medialz/presidential-libraries/bush/foia/2017/41-bpr-poldev-goldstein-06683-004.pdf
653628665,05841-010,633663627,GB-POD-043b,Roger Porter's Chronological Files,05841/2,Porter - Dec 89 [December 1989],1989-12-01,1989-12-31,December 1989,month,Explicit folder-title date,Trade Policy and Market Access,Consider,Selective review,Unrestricted,,Unrestricted,verified in OCR,George H.W. Bush Presidential Records,"Policy Development, White House Office of","Porter, Roger, Files",Chronological Files,05841,05841-010,653628666,22703568,96855,0,0,29,0,0,0,23,20,2,0,0,1,White House Office of Policy Development | Roger Porter's Chronological Files,"Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.",,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–010, Porter - Dec 89 [December 1989].",https://catalog.archives.gov/id/653628665,https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-010.pdf
653628667,05841-011,633663627,GB-POD-043b,Roger Porter's Chronological Files,05841/2,Porter - Jan 90 [January 1990],1990-01-01,1990-01-31,January 1990,month,Explicit folder-title date,Trade Policy and Market Access,Consider,Selective review,Unrestricted,,Unrestricted,verified in OCR,George H.W. Bush Presidential Records,"Policy Development, White House Office of","Porter, Roger, Files",Chronological Files,05841,05841-011,653628668,53217168,225682,1,0,44,1,0,0,62,44,7,6,4,1,White House Office of Policy Development | Roger Porter's Chronological Files,"Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.",garding the Uruguay Round negotiations.,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–011, Porter - Jan 90 [January 1990].",https://catalog.archives.gov/id/653628667,https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-011.pdf
509548134,CF01119-002,506211263,GB-POD-014,Stephen P. Farrar Trade Files,CF01119,Trade Chron Files: 1990,1990-01-01,1990-12-31,"January 1, 1990-December 31, 1990",range,Catalog coverage dates,Trade Policy and Market Access,Consider,Volume XXX review,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Stephen P. Farrar Trade Files | Trade policy,"Finding-aid lead retained because of functional trade or international-economic series, foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.",,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Stephen P. Farrar Trade Files, OA/ID CF01119–002, Trade Chron Files: 1990.",https://catalog.archives.gov/id/509548134,
653628669,05841-012,633663627,GB-POD-043b,Roger Porter's Chronological Files,05841/3,Porter - Feb-90 [February 1990],1990-02-01,1990-02-28,February 1990,month,Explicit folder-title date,Trade Policy and Market Access,Consider,Selective review,Unrestricted,,Unrestricted,verified in OCR,George H.W. Bush Presidential Records,"Policy Development, White House Office of","Porter, Roger, Files",Chronological Files,05841,05841-012,653628670,11605996,40795,0,0,20,0,0,0,2,2,0,0,0,0,White House Office of Policy Development | Roger Porter's Chronological Files,"Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.",,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–012, Porter - Feb-90 [February 1990].",https://catalog.archives.gov/id/653628669,https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-012.pdf
509545498,04939-094,505628526,GB-POD-041,James Pinkerton Chronological Files,04939,Intergovernmental Panel on Climate Change 2/5/90,1990-02-05,1990-02-05,"February 5, 1990",day,Explicit folder-title date,Economic Summits and Industrialized-Country Cooperation,Consider,Selective review,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | James Pinkerton Chronological Files | Global environment,"Finding-aid lead retained because of global climate or summit-environment title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.",,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, James Pinkerton Chronological Files, OA/ID 04939–094, Intergovernmental Panel on Climate Change 2/5/90.",https://catalog.archives.gov/id/509545498,
653628671,05841-013,633663627,GB-POD-043b,Roger Porter's Chronological Files,05841/3,Porter - Mar 90 [March 1990],1990-03-01,1990-03-31,March 1990,month,Explicit folder-title date,Trade Policy and Market Access,Consider,Selective review,Unrestricted,,Unrestricted,verified in OCR,George H.W. Bush Presidential Records,"Policy Development, White House Office of","Porter, Roger, Files",Chronological Files,05841,05841-013,653628672,6986751,27021,0,0,6,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Roger Porter's Chronological Files,"Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.","presentatives of the European Community on March 29-30,","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–013, Porter - Mar 90 [March 1990].",https://catalog.archives.gov/id/653628671,https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-013.pdf
653628673,05841-014,633663627,GB-POD-043b,Roger Porter's Chronological Files,05841/3,Porter - Apr-90 [April 1990],1990-04-01,1990-04-30,April 1990,month,Explicit folder-title date,Trade Policy and Market Access,Consider,Selective review,Unrestricted,,Unrestricted,verified in OCR,George H.W. Bush Presidential Records,"Policy Development, White House Office of","Porter, Roger, Files",Chronological Files,05841,05841-014,653628674,6380241,26461,0,0,6,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Roger Porter's Chronological Files,"Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.",,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–014, Porter - Apr-90 [April 1990].",https://catalog.archives.gov/id/653628673,https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-014.pdf
653628675,05841-015,633663627,GB-POD-043b,Roger Porter's Chronological Files,05841/3,Porter - May 90 [1990],1990-05-01,1990-05-31,May 1990,month,Explicit folder-title date,Trade Policy and Market Access,Consider,Selective review,Unrestricted,,Unrestricted,verified in OCR,George H.W. Bush Presidential Records,"Policy Development, White House Office of","Porter, Roger, Files",Chronological Files,05841,05841-015,653628676,29980616,127866,3,2,17,0,0,0,24,8,16,0,0,0,White House Office of Policy Development | Roger Porter's Chronological Files,"Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.",actions to the Super 301 Decision | mains skeptical that Japan will implement its agreements,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–015, Porter - May 90 [1990].",https://catalog.archives.gov/id/653628675,https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-015.pdf
653628677,05841-016,633663627,GB-POD-043b,Roger Porter's Chronological Files,05841/3,Porter - Jun 90 [June 1990],1990-06-01,1990-06-30,June 1990,month,Explicit folder-title date,Trade Policy and Market Access,Consider,Selective review,Unrestricted,,Unrestricted,verified in OCR,George H.W. Bush Presidential Records,"Policy Development, White House Office of","Porter, Roger, Files",Chronological Files,05841,05841-016,653628678,50770928,218599,2,0,51,3,0,0,18,13,0,4,1,0,White House Office of Policy Development | Roger Porter's Chronological Files,"Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.",cognize Red China. I would hold out against a VAT as long as,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–016, Porter - Jun 90 [June 1990].",https://catalog.archives.gov/id/653628677,https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-016.pdf
653628679,05841-017,633663627,GB-POD-043b,Roger Porter's Chronological Files,05841/3,Porter - Jul 90 [July 1990],1990-07-01,1990-07-31,July 1990,month,Explicit folder-title date,Trade Policy and Market Access,Consider,Selective review,Unrestricted,,Unrestricted,verified in OCR,George H.W. Bush Presidential Records,"Policy Development, White House Office of","Porter, Roger, Files",Chronological Files,05841,05841-017,653628680,37762456,197428,0,0,26,0,0,0,5,0,0,2,3,0,White House Office of Policy Development | Roger Porter's Chronological Files,"Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.",,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–017, Porter - Jul 90 [July 1990].",https://catalog.archives.gov/id/653628679,https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-017.pdf
