"naid","workingStartDate","workingEndDate","dateBasis","title","localId","chapter","routing","markerStatus","pdfBytes","accessStatus","memosToPresident","memosToScowcroft","memorandaOfConversation","meetingRecords","withdrawalSheets","archivalLocator","catalogUrl","pdfUrl"
"452050609","1989-03-21","1989-03-24","OCR working span","Trade","CF00972-018","Trade Policy and Market Access","Volume XXX review","verified","6110845","Restricted - Possibly","0","1","0","0","3","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–018, Trade.","https://catalog.archives.gov/id/452050609","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-018.pdf"
"452050595","1989-03-28","1990-08-27","OCR working span","Personnel [2]","CF00972-004","Series administration","Administrative","verified","34567984","Restricted - Possibly","0","0","0","0","12","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–004, Personnel [2].","https://catalog.archives.gov/id/452050595","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-004.pdf"
"452050573","1989-03-31","1991-06-30","OCR working span","IFI's [World Bank - International Monetary Fund / IMF] [4]","CF00964-004","Monetary Policy, Debt, and International Institutions","Volume XXX review","verified","54271968","Restricted - Possibly","9","6","0","0","7","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00964–004, IFI's [World Bank - International Monetary Fund / IMF] [4].","https://catalog.archives.gov/id/452050573","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00964-004.pdf"
"452050599","1989-04-12","1989-08-30","OCR working span","Poland [4]","CF00972-008","Transition Economies and International Economic Strategy","Volume XXX review","verified","63501584","Restricted - Possibly","20","7","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–008, Poland [4].","https://catalog.archives.gov/id/452050599","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-008.pdf"
"452050537","1989-04-12","1992-02-03","OCR working span","Debt [2]","CF00962-011","Monetary Policy, Debt, and International Institutions","Volume XXX review","verified","49295572","Restricted - Possibly","5","1","0","1","11","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00962–011, Debt [2].","https://catalog.archives.gov/id/452050537","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00962-011.pdf"
"452050509","1989-04-24","1990-03-05","OCR working span","Argentina","CF00961-002","Trade Policy and Market Access","Boundary review","verified","9530731","Restricted - Possibly","0","1","0","0","11","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00961–002, Argentina.","https://catalog.archives.gov/id/452050509","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00961-002.pdf"
"452050594","1989-05-22","1992-05-18","OCR working span","Personnel [1]","CF00972-003","Series administration","Administrative","verified","47656144","Restricted - Possibly","0","4","0","0","5","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–003, Personnel [1].","https://catalog.archives.gov/id/452050594","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-003.pdf"
"452050569","1989-06-22","1989-11-17","OCR working span","IEPR [International Economic Policy Review] Breakfasts [2]","CF00963-020","Monetary Policy, Debt, and International Institutions","Volume XXX review","verified","20709208","Restricted - Possibly","1","6","0","0","21","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00963–020, IEPR [International Economic Policy Review] Breakfasts [2].","https://catalog.archives.gov/id/452050569","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00963-020.pdf"
"452050571","1989-06-27","1990-06-30","OCR working span","IFI's [World Bank - International Monetary Fund / IMF] [2]","CF00964-002","Monetary Policy, Debt, and International Institutions","Volume XXX review","verified","37944392","Restricted - Possibly","1","4","0","1","3","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00964–002, IFI's [World Bank - International Monetary Fund / IMF] [2].","https://catalog.archives.gov/id/452050571","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00964-002.pdf"
"452050572","1989-06-27","1991-09-30","OCR working span","IFI's [World Bank - International Monetary Fund / IMF] [3]","CF00964-003","Monetary Policy, Debt, and International Institutions","Volume XXX review","verified","48878936","Restricted - Possibly","7","4","0","0","2","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00964–003, IFI's [World Bank - International Monetary Fund / IMF] [3].","https://catalog.archives.gov/id/452050572","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00964-003.pdf"
"452050593","1989-07-01","1989-07-31","Catalog coverage dates","Paris Economic Summit [July 1989]","CF00972-002","Economic Summits and Industrialized-Country Cooperation","Volume XXX review","verified","8740565","Restricted - Possibly","0","3","0","0","4","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–002, Paris Economic Summit [July 1989].","https://catalog.archives.gov/id/452050593","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-002.pdf"
"452050557","1989-07-01","1992-11-01","OCR working span","Export Controls [6]","CF00963-008","Strategic Trade, Technology, and Investment Controls","Volume XXX review","verified","83392280","Restricted - Possibly","2","3","0","0","7","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00963–008, Export Controls [6].","https://catalog.archives.gov/id/452050557","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00963-008.pdf"
"352793403","1989-08-15","1990-05-02","OCR working span","CFIUS [Committee on Foreign Investment in the US] [4]","CF00961-010","Strategic Trade, Technology, and Investment Controls","Volume XXX review","verified","41198376","Undetermined","4","1","0","0","17","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00961–010, CFIUS [Committee on Foreign Investment in the US] [4].","https://catalog.archives.gov/id/352793403","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00961-010.pdf"
"452050598","1989-08-28","1989-09-28","OCR working span","Poland [3]","CF00972-007","Transition Economies and International Economic Strategy","Volume XXX review","verified","63887716","Restricted - Possibly","3","8","0","0","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–007, Poland [3].","https://catalog.archives.gov/id/452050598","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-007.pdf"
"452050597","1989-10-02","1989-11-15","OCR working span","Poland [2]","CF00972-006","Transition Economies and International Economic Strategy","Volume XXX review","verified","65427224","Restricted - Possibly","12","9","0","0","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–006, Poland [2].","https://catalog.archives.gov/id/452050597","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-006.pdf"
"352793402","1989-11-03","1990-11-15","OCR working span","CFIUS [Committee on Foreign Investment in the US] [3]","CF00961-009","Strategic Trade, Technology, and Investment Controls","Volume XXX review","verified","31980588","Undetermined","0","0","0","0","31","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00961–009, CFIUS [Committee on Foreign Investment in the US] [3].","https://catalog.archives.gov/id/352793402","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00961-009.pdf"
"452050570","1989-11-03","1991-03-06","OCR working span","IFI's [World Bank - International Monetary Fund / IMF] [1]","CF00964-001","Monetary Policy, Debt, and International Institutions","Volume XXX review","verified","28230946","Restricted - Possibly","12","6","0","0","9","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00964–001, IFI's [World Bank - International Monetary Fund / IMF] [1].","https://catalog.archives.gov/id/452050570","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00964-001.pdf"
"452050607","1989-11-29","1989-12-08","OCR working span","Soviet Union [8]","CF00972-016","Transition Economies and International Economic Strategy","Volume XXX review","verified","21517332","Restricted - Possibly","2","0","0","0","13","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–016, Soviet Union [8].","https://catalog.archives.gov/id/452050607","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-016.pdf"
"452050596","1989-12-02","1991-03-11","OCR working span","Poland [1]","CF00972-005","Transition Economies and International Economic Strategy","Volume XXX review","verified","48534620","Restricted - Possibly","5","3","0","0","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–005, Poland [1].","https://catalog.archives.gov/id/452050596","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-005.pdf"
"452050544","1989-12-06","1990-12-31","OCR working span","EBRD [European Bank for Reconstruction and Development] [5]","CF00962-018","Monetary Policy, Debt, and International Institutions","Volume XXX review","verified","35644768","Restricted - Possibly","0","3","2","1","11","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00962–018, EBRD [European Bank for Reconstruction and Development] [5].","https://catalog.archives.gov/id/452050544","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00962-018.pdf"
"452050615","1989-12-07","1990-03-13","OCR working span","[Timothy] Deal Travel [6]","CF00972-024","Economic Summits and Industrialized-Country Cooperation","Volume XXX review","verified","52244488","Restricted - Possibly","0","5","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–024, [Timothy] Deal Travel [6].","https://catalog.archives.gov/id/452050615","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-024.pdf"
"452050541","1989-12-09","1990-03-08","OCR working span","EBRD [European Bank for Reconstruction and Development] [2]","CF00962-015","Monetary Policy, Debt, and International Institutions","Volume XXX review","verified","36987440","Restricted - Possibly","8","8","0","0","20","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00962–015, EBRD [European Bank for Reconstruction and Development] [2].","https://catalog.archives.gov/id/452050541","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00962-015.pdf"
"452050606","1989-12-18","1990-07-13","OCR working span","Soviet Union [7]","CF00972-015","Transition Economies and International Economic Strategy","Volume XXX review","verified","20752888","Restricted - Possibly","3","3","0","0","32","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–015, Soviet Union [7].","https://catalog.archives.gov/id/452050606","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-015.pdf"
"452050576","1989-12-31","1992-05-19","OCR working span","Iraq [1]","CF00964-007","Monetary Policy, Debt, and International Institutions","Boundary review","verified","39693340","Restricted - Possibly","7","4","0","0","35","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00964–007, Iraq [1].","https://catalog.archives.gov/id/452050576","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00964-007.pdf"
"452050578","1990-01-01","1991-03-12","OCR working span","Latin America [1]","CF00964-009","Trade Policy and Market Access","Boundary review","verified","38566872","Restricted - Possibly","0","3","0","0","8","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00964–009, Latin America [1].","https://catalog.archives.gov/id/452050578","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00964-009.pdf"
"452050554","1990-01-01","1992-03-09","OCR working span","Export Controls [3]","CF00963-005","Strategic Trade, Technology, and Investment Controls","Volume XXX review","verified","56208160","Restricted - Possibly","0","2","0","0","3","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00963–005, Export Controls [3].","https://catalog.archives.gov/id/452050554","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00963-005.pdf"
"452050613","1990-01-02","1991-05-20","OCR working span","[Timothy] Deal Travel [4]","CF00972-022","Economic Summits and Industrialized-Country Cooperation","Volume XXX review","verified","49535408","Restricted - Possibly","0","2","0","0","2","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–022, [Timothy] Deal Travel [4].","https://catalog.archives.gov/id/452050613","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-022.pdf"
"452050543","1990-01-12","1990-02-09","OCR working span","EBRD [European Bank for Reconstruction and Development] [4]","CF00962-017","Monetary Policy, Debt, and International Institutions","Volume XXX review","verified","19167104","Restricted - Possibly","0","1","0","0","4","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00962–017, EBRD [European Bank for Reconstruction and Development] [4].","https://catalog.archives.gov/id/452050543","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00962-017.pdf"
"452050574","1990-01-12","1991-05-17","OCR working span","International Economic Policy [1]","CF00964-005","Monetary Policy, Debt, and International Institutions","Volume XXX review","verified","23512890","Restricted - Possibly","0","1","0","0","19","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00964–005, International Economic Policy [1].","https://catalog.archives.gov/id/452050574","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00964-005.pdf"
"452050623","1990-01-13","1991-01-15","OCR working span","War Risk Insurance","CF00973-001","Monetary Policy, Debt, and International Institutions","Boundary review","verified","17309196","Restricted - Possibly","0","4","0","0","14","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00973–001, War Risk Insurance.","https://catalog.archives.gov/id/452050623","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00973-001.pdf"
"452050575","1990-01-18","1990-03-08","OCR working span","International Economic Policy [2]","CF00964-006","Monetary Policy, Debt, and International Institutions","Volume XXX review","verified","30683960","Restricted - Possibly","0","0","0","0","13","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00964–006, International Economic Policy [2].","https://catalog.archives.gov/id/452050575","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00964-006.pdf"
"452050549","1990-01-29","1990-04-02","OCR working span","Fiber Optics [4]","CF00962-023","Strategic Trade, Technology, and Investment Controls","Volume XXX review","verified","8967685","Restricted - Possibly","1","2","0","0","12","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00962–023, Fiber Optics [4].","https://catalog.archives.gov/id/452050549","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00962-023.pdf"
"452050547","1990-01-29","1990-05-16","OCR working span","Fiber Optics [2]","CF00962-021","Strategic Trade, Technology, and Investment Controls","Volume XXX review","verified","19523260","Restricted - Possibly","1","0","0","0","30","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00962–021, Fiber Optics [2].","https://catalog.archives.gov/id/452050547","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00962-021.pdf"
"452050551","1990-02-01","1991-01-16","OCR working span","Energy [2]","CF00963-002","Monetary Policy, Debt, and International Institutions","Volume XXX review","verified","33241808","Restricted - Possibly","1","1","0","0","45","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00963–002, Energy [2].","https://catalog.archives.gov/id/452050551","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00963-002.pdf"
"352793394","1990-02-01","1991-09-16","OCR working span","CFIUS [Committee on Foreign Investment in the US] [2]","CF00961-008","Strategic Trade, Technology, and Investment Controls","Volume XXX review","verified","30336892","Undetermined","0","1","0","0","28","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00961–008, CFIUS [Committee on Foreign Investment in the US] [2].","https://catalog.archives.gov/id/352793394","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00961-008.pdf"
"452050542","1990-03-01","1990-03-01","OCR working span","EBRD [European Bank for Reconstruction and Development] [3]","CF00962-016","Monetary Policy, Debt, and International Institutions","Volume XXX review","verified","10685308","Restricted - Possibly","0","0","0","0","11","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00962–016, EBRD [European Bank for Reconstruction and Development] [3].","https://catalog.archives.gov/id/452050542","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00962-016.pdf"
"452050558","1990-03-01","1992-05-19","OCR working span","Gulf Crisis Financial Coordination Group [1]","CF00963-009","Monetary Policy, Debt, and International Institutions","Boundary review","verified","41336420","Restricted - Possibly","2","2","4","0","16","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00963–009, Gulf Crisis Financial Coordination Group [1].","https://catalog.archives.gov/id/452050558","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00963-009.pdf"
